Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Actual,change from prior year,Percentage,N,117.5
2023-09-30,Total Individuals,Total,Individuals,Difference,prior month,Percentage,change from prior year,Percentage,N,114.08059065530416
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Actual,change from prior year,Percentage,N,-78.92068091271278
2023-09-30,Total Individuals,Total,Individuals,Difference,prior year,Percentage,change from prior year,Percentage,N,-80.65618113635973
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Actual,change from prior year,Percentage,N,-0.3694250403009135
2023-09-30,Total Individuals,Total,Individuals,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-15.859058352390731
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Actual,change from prior year,Percentage,N,-567.8571428571429
2023-09-30,Total Individuals,Total,Individuals,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-562.0340518364704
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Number,,Actual,-,-,N,14239.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,12 month rolling average,,Actual,-,-,N,14442.307692307691
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Actual,-,-,N,-203.30769230769147
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Percentage,-,-,N,-1.407723035952058
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Actual,-,-,N,11.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Percentage,-,-,N,0.07731234186111892
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Actual,-,-,N,-479.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Percentage,-,-,N,-3.254518276939802
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Actual,-,-,N,9788.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Percentage,-,-,N,219.90563918220624
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Actual,-,-,N,-53.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Percentage,-,-,N,-0.3708368317940106
2023-09-30,Nonpriority Applications,Nonpriority,Applications,12 month rolling average,,Actual,change from prior month,Actual,N,-39.92307692307804
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,N,50.92307692307804
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,0.3477438757540665
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Actual,change from prior month,Actual,N,-1.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Percentage,change from prior month,Actual,N,-0.007099588358352102
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Actual,change from prior month,Actual,N,51.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Percentage,change from prior month,Actual,N,0.33675425321333563
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,N,11.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,N,0.2471354751741046
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Actual,change from prior month,Actual,N,11.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.07696613490064375
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Number,,Actual,change from prior month,Percentage,N,0.07731234186111892
2023-09-30,Nonpriority Applications,Nonpriority,Applications,12 month rolling average,,Actual,change from prior month,Percentage,N,-0.2756693879502279
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,-20.03025718608211
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,-19.809195686639114
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Actual,change from prior month,Percentage,N,-8.333333333333332
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Percentage,change from prior month,Percentage,N,-8.410645675194456
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Actual,change from prior month,Percentage,N,-9.622641509433963
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Percentage,change from prior month,Percentage,N,-9.377017488532843
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Actual,change from prior month,Percentage,N,0.11250894957553442
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,0.11250894957552825
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Actual,change from prior month,Percentage,N,-17.1875
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Percentage,change from prior month,Percentage,N,-17.187500000000007
2023-09-30,Nonpriority Applications,Nonpriority,Applications,12 month rolling average,,Actual,change from prior year,Actual,N,-190.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-289.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-1.9933607186352726
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Actual,change from prior year,Actual,N,51.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Percentage,change from prior year,Actual,N,0.3483517780990915
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Actual,change from prior year,Actual,N,-1154.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Percentage,change from prior year,Actual,N,-8.06118351940936
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Actual,change from prior year,Actual,N,-1171.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-71.6346640899406
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Actual,change from prior year,Actual,N,158.0
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Percentage,change from prior year,Actual,N,1.0425197225632807
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Number,,Actual,change from prior year,Percentage,N,-3.254518276939802
2023-09-30,Nonpriority Applications,Nonpriority,Applications,12 month rolling average,,Actual,change from prior year,Percentage,N,-1.2984964777625907
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-337.2531418312355
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-340.37439488222424
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Actual,change from prior year,Percentage,N,-127.49999999999999
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior month,Percentage,change from prior year,Percentage,N,-128.5243885296598
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Actual,change from prior year,Percentage,N,-170.96296296296296
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,prior year,Percentage,change from prior year,Percentage,N,-167.70844468602317
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Actual,change from prior year,Percentage,N,-10.685281503786841
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-24.57110158902151
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Actual,change from prior year,Percentage,N,-74.88151658767772
2023-09-30,Nonpriority Applications,Nonpriority,Applications,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-73.76197601017638
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,Actual,-,-,N,24549.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,Actual,-,-,N,24737.76923076923
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Actual,-,-,N,-188.7692307692305
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Percentage,-,-,N,-0.7630810563728451
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Percentage of population,,Percentage,-,-,N,0.859681033088037
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,per 10 000,-,-,N,85.9681033088037
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,per 10 000,-,-,N,86.62915397206056
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Actual,-,-,N,27.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Percentage,-,-,N,0.1101052116466846
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Actual,-,-,N,-301.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Percentage,-,-,N,-1.211267605633803
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Actual,-,-,N,20098.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Percentage,-,-,N,451.53898000449334
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Actual,-,-,N,-14.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Percentage,-,-,N,-0.05699629524080935
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,Actual,change from prior month,Actual,N,-26.846153846152447
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Actual,change from prior month,Actual,N,53.84615384615245
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,0.2166045993393927
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Percentage of population,,Percentage,change from prior month,Actual,N,0.0009455125623600846
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,per 10 000,change from prior month,Actual,N,0.09455125623601646
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,per 10 000,change from prior month,Actual,N,-0.09401250263921668
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Actual,change from prior month,Actual,N,1.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Percentage,change from prior month,Actual,N,0.003965433723758405
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Actual,change from prior month,Actual,N,75.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Percentage,change from prior month,Actual,N,0.29889385311790395
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Actual,change from prior month,Actual,N,27.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Percentage,change from prior month,Actual,N,0.606605257245576
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Actual,change from prior month,Actual,N,27.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.1099214265358466
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,Actual,change from prior month,Percentage,N,0.1101052116466846
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,Actual,change from prior month,Percentage,N,-0.10840529291171704
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,-22.194039315154935
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,-22.10960200105408
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Percentage of population,,Percentage,change from prior month,Percentage,N,0.11010521164668802
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,per 10 000,change from prior month,Percentage,N,0.11010521164669734
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,per 10 000,change from prior month,Percentage,N,-0.1084052929117198
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Actual,change from prior month,Percentage,N,3.8461538461538463
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Percentage,change from prior month,Percentage,N,3.736048634507149
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Actual,change from prior month,Percentage,N,-19.9468085106383
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Percentage,change from prior month,Percentage,N,-19.792178603536097
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Actual,change from prior month,Percentage,N,0.13452244531911714
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,0.13452244531912008
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Actual,change from prior month,Percentage,N,-65.85365853658537
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Percentage,change from prior month,Percentage,N,-65.85365853658537
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,Actual,change from prior year,Actual,N,159.07692307692196
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-460.07692307692196
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-1.8669139572907723
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Percentage of population,,Percentage,change from prior year,Actual,N,-0.024537568522913222
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,per 10 000,change from prior year,Actual,N,-2.4537568522913205
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,per 10 000,change from prior year,Actual,N,-0.8273327149958334
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Actual,change from prior year,Actual,N,75.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Percentage,change from prior year,Actual,N,0.3028917808490302
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Actual,change from prior year,Actual,N,-1815.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Percentage,change from prior year,Actual,N,-7.699097567923827
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Actual,change from prior year,Actual,N,-993.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-109.54109448340233
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Actual,change from prior year,Actual,N,325.0
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Percentage,change from prior year,Actual,N,1.2888292635348466
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,Actual,change from prior year,Percentage,N,-1.211267605633803
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,Actual,change from prior year,Percentage,N,0.6472147544934121
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-169.5775446555147
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-169.13012429130177
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Percentage of population,,Percentage,change from prior year,Percentage,N,-2.775056810409602
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Number,,per 10 000,change from prior year,Percentage,N,-2.7750568104096
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,12 month rolling average,,per 10 000,change from prior year,Percentage,N,-0.9459935407150069
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Actual,change from prior year,Percentage,N,-156.25
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior month,Percentage,change from prior year,Percentage,N,-157.1124908245657
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Actual,change from prior year,Percentage,N,-119.88110964332893
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,prior year,Percentage,change from prior year,Percentage,N,-118.66984203769513
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Actual,change from prior year,Percentage,N,-4.7081693613389595
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-19.523255140254584
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Actual,change from prior year,Percentage,N,-95.87020648967551
2023-09-30,Nonpriority Individuals,Nonpriority,Individuals,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-95.76495669374411
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Number,,Actual,-,-,N,28.044669812703344
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,12 month rolling average,,Actual,-,-,N,27.085112370606346
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Actual,-,-,N,0.9595574420969974
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Percentage,-,-,N,3.542748610259933
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Actual,-,-,N,0.10461691819849861
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Percentage,-,-,N,0.37443350087241356
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Actual,-,-,N,2.146354619621487
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Percentage,-,-,N,8.28762258710496
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Actual,-,-,N,-4422.955330187297
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Percentage,-,-,N,-99.36992429088511
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Actual,-,-,N,0.31854729166526496
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Percentage,-,-,N,1.1489067446180297
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,12 month rolling average,,Actual,change from prior month,Actual,N,0.18293480169599974
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Actual,change from prior month,Actual,N,-0.07831788349750113
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,-0.3152116717133935
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Actual,change from prior month,Actual,N,-0.003482407087361139
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Percentage,change from prior month,Actual,N,-0.013966562446940445
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Actual,change from prior month,Actual,N,-0.1271808842280393
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Percentage,change from prior month,Actual,N,-0.5703594649410917
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Actual,change from prior month,Actual,N,0.10461691819818952
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Percentage,change from prior month,Actual,N,0.0023504137991210428
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Actual,change from prior month,Actual,N,0.10461691819849861
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.37732257050771234
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Number,,Actual,change from prior month,Percentage,N,0.37443350087241356
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,12 month rolling average,,Actual,change from prior month,Percentage,N,0.6799999785422923
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Actual,change from prior month,Percentage,N,-7.545981830971882
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior month,Percentage,N,-8.170422935307265
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Actual,change from prior month,Percentage,N,-3.2214882730786716
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Percentage,change from prior month,Percentage,N,-3.595921773951083
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Actual,change from prior month,Percentage,N,-5.5939695691005475
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Percentage,change from prior month,Percentage,N,-6.438932271367019
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Actual,change from prior month,Percentage,N,-0.002365261141591629
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Percentage,change from prior month,Percentage,N,-0.0023652611416071856
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Actual,change from prior month,Percentage,N,48.90232111652469
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Percentage,change from prior month,Percentage,N,48.90232111652469
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,12 month rolling average,,Actual,change from prior year,Actual,N,2.562256689816028
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-0.41590207019454084
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-2.066139400971923
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Actual,change from prior year,Actual,N,-0.1271808842280393
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Percentage,change from prior year,Actual,N,-0.5286800727319704
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Actual,change from prior year,Actual,N,0.41779311471796277
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Percentage,change from prior year,Actual,N,1.1358678476721744
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Actual,change from prior year,Actual,N,-689.8536453803786
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-0.058892505651854776
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Actual,change from prior year,Actual,N,-0.6296740480661747
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Percentage,change from prior year,Actual,N,-2.6515652908974117
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Number,,Actual,change from prior year,Percentage,N,8.28762258710496
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,12 month rolling average,,Actual,change from prior year,Percentage,N,10.448443375308614
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Actual,change from prior year,Percentage,N,-30.23731825458396
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,12 month rolling average,Percentage,change from prior year,Percentage,N,-36.83688097951782
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Actual,change from prior year,Percentage,N,-54.867165648969376
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior month,Percentage,change from prior year,Percentage,N,-58.53971063926926
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Actual,change from prior year,Percentage,N,24.16998837083792
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,prior year,Percentage,change from prior year,Percentage,N,15.882365783732983
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Actual,change from prior year,Percentage,N,18.479369265186758
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,0.05930107118332408
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Actual,change from prior year,Percentage,N,-66.40580861052065
2023-09-30,Proportion Priority - Individuals,Proportion Priority,Individuals,Difference,financial year to date,Percentage,change from prior year,Percentage,N,-69.76936722908398
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Number,,Actual,-,-,N,25.504865543580625
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,12 month rolling average,,Actual,-,-,N,24.1639238438342
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,12 month rolling average,Actual,-,-,N,1.3409416997464234
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,12 month rolling average,Percentage,-,-,N,5.549354104956698
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior month,Actual,-,-,N,0.19120078427567577
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior month,Percentage,-,-,N,0.7553263665838549
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior year,Actual,-,-,N,3.0700829348849723
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior year,Percentage,-,-,N,13.684478198130689
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,calendar year to date,Actual,-,-,N,-4425.49513445642
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,calendar year to date,Percentage,-,-,N,-99.42698572133048
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,financial year to date,Actual,-,-,N,0.48125836699894364
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,financial year to date,Percentage,-,-,N,1.9232173986863448
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,12 month rolling average,,Actual,change from prior month,Actual,N,0.24670591703512557
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,12 month rolling average,Actual,change from prior month,Actual,N,-0.05550513275944979
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,12 month rolling average,Percentage,change from prior month,Actual,N,-0.28931340553650386
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior month,Actual,change from prior month,Actual,N,-0.00657691223955581
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior month,Percentage,change from prior month,Actual,N,-0.03213415997762914
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior year,Actual,change from prior month,Actual,N,0.05410679770396243
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,prior year,Percentage,change from prior month,Actual,N,0.15851957393259752
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,calendar year to date,Actual,change from prior month,Actual,N,0.19120078427567933
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,calendar year to date,Percentage,change from prior month,Actual,N,0.004295681515969818
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,financial year to date,Actual,change from prior month,Actual,N,0.19120078427567577
2023-09-30,Proportion Priority - Applications,Proportion Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Actual,N,0.7640816247092101
