LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA57350,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,5,3,0,13,0,4,0,0,6,4,0,0,0,4,0,6,0,0,7,0,0,0,0,4,9,9,3,6,15,0,0,0,0,0,19,21,14,5,59
LGA57420,0,0,0,0,0,3,0,0,0,4,7,0,0,0,12,3,10,3,0,14,9,12,12,0,26,4,8,6,0,20,8,16,6,4,32,7,17,3,0,33,10,11,7,5,31,0,0,0,0,0,55,76,43,12,181
LGA57490,69,49,17,8,144,113,83,30,24,248,481,365,142,83,1072,643,703,319,133,1808,841,999,397,148,2382,722,878,321,109,2032,1039,1346,524,162,3063,828,1292,480,136,2742,915,1167,549,215,2842,52,46,22,4,124,5783,6982,2841,1038,16640
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,15,10,4,4,33,32,14,10,3,49,114,112,51,29,302,176,249,108,53,589,239,294,126,52,714,209,267,84,40,595,246,338,126,51,755,217,306,124,59,702,214,296,150,64,724,10,17,4,4,34,1496,1915,795,359,4562
LGA57770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,8,3,0,0,13,0,9,0,0,7,0,6,0,0,11,0,0,0,0,3,10,4,4,0,18,0,0,0,0,0,27,27,6,4,71
LGA57840,16,11,8,0,29,23,17,3,5,43,109,50,16,5,189,116,94,32,0,238,189,147,35,9,379,148,128,48,12,334,314,335,76,16,741,682,1024,290,37,2035,152,177,67,19,415,10,14,4,0,27,1786,2022,582,98,4491
LGA57910,139,106,46,25,315,225,175,45,37,476,972,610,204,107,1895,1122,888,248,79,2337,1336,1162,323,89,2910,1002,1052,293,57,2412,1736,2205,533,78,4559,2463,4165,1186,200,8018,849,1002,342,125,2315,76,57,21,13,168,10149,11590,3310,864,25915
LGA57980,4,0,0,0,6,8,5,0,0,14,27,22,6,0,59,41,25,5,0,68,62,60,8,5,139,51,49,7,0,105,97,123,34,7,258,313,492,158,20,982,54,63,17,6,141,3,3,0,0,3,670,839,251,35,1791
LGA58050,94,87,26,26,229,143,124,67,33,368,759,714,252,140,1865,923,1041,344,156,2470,1163,1427,456,157,3202,983,1177,355,128,2634,1237,1430,472,156,3296,953,1323,493,158,2928,889,1033,478,245,2643,57,65,24,20,163,7313,8523,3015,1267,20120
LGA58190,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,6,0,0,8,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,4,8,0,14,0,0,0,0,0,14,13,12,6,38
LGA58260,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,6,0,0,0,3,3,3,0,0,8,5,4,0,0,4,0,0,0,0,6,0,5,0,0,5,0,12,7,0,14,0,0,0,0,0,16,30,7,0,57
LGA58330,3,0,0,0,4,0,9,0,0,9,19,12,10,0,44,5,23,6,0,39,17,12,6,11,43,16,15,14,0,42,19,21,6,0,50,13,16,7,0,35,43,26,10,6,96,0,0,0,0,3,152,132,60,21,374
LGA58400,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,13,8,0,3,15
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,5,9,4,18
LGA58510,26,15,3,0,43,29,13,3,3,52,129,68,23,0,223,162,113,27,10,307,194,158,33,8,383,146,163,28,11,343,288,297,61,11,665,368,507,120,13,1012,130,127,35,14,298,9,3,0,0,17,1516,1463,336,80,3398
LGA58540,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,6,4,0,15,3,5,0,0,11,0,0,0,0,7,0,0,0,0,8,3,10,0,0,14,8,9,3,0,18,0,0,0,0,0,17,41,14,5,80
LGA58570,10,9,3,0,22,18,13,0,0,32,67,45,12,0,126,84,72,18,3,184,107,104,26,7,243,120,142,27,9,291,256,335,52,7,654,573,826,207,17,1626,96,114,35,8,256,0,11,0,0,8,1369,1673,393,52,3488
LGA58610,4,0,0,0,5,0,0,0,0,0,3,7,0,0,12,8,4,0,5,13,4,13,3,5,21,5,7,8,0,21,5,6,0,7,15,0,6,3,0,14,3,12,8,4,25,0,0,0,0,4,43,45,27,18,131
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,6,0,0,0,3,4,0,0,5,0,3,3,4,0,0,9,3,0,0,0,7,5,3,3,0,12,0,0,0,0,0,21,16,12,7,48
LGA58760,137,119,42,24,323,176,171,81,49,474,910,911,317,179,2314,1192,1382,522,187,3283,1547,1841,627,201,4217,1334,1780,525,177,3819,1750,2505,735,220,5217,1375,2289,820,236,4725,1250,1653,750,297,3947,91,95,22,22,230,9964,12856,4510,1653,28985
LGA58820,3,0,0,0,4,9,0,0,0,14,13,12,0,0,30,10,18,4,0,44,16,27,9,4,53,12,17,12,0,48,27,26,10,4,67,20,24,17,4,67,30,33,26,8,93,5,0,0,0,9,148,161,91,32,434
LGA58890,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,5,0,13,3,3,0,0,9,0,0,0,0,3,0,9,0,0,8,6,6,0,0,9,3,7,3,0,12,0,0,0,0,0,22,36,14,3,73
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,5,0,0,0,3,0,0,0,0,0,6,12,6,0,23
LGA59100,0,0,0,0,0,0,6,0,0,5,0,4,4,0,4,3,7,0,0,9,0,5,4,0,9,8,0,5,0,12,0,4,0,0,3,0,0,0,0,5,0,0,5,0,13,0,0,0,0,0,18,20,17,6,57
LGA59170,0,0,0,0,0,0,0,0,0,0,0,7,0,3,6,0,14,0,5,18,7,3,0,3,16,6,3,5,0,12,5,7,4,0,20,3,9,3,0,18,5,5,4,0,12,0,0,0,0,4,29,45,24,13,106
LGA59250,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,9
LGA59310,0,0,0,0,4,4,0,0,0,0,0,0,9,0,7,6,8,0,0,16,8,11,0,0,18,5,6,6,0,18,5,8,3,0,11,4,3,0,0,12,6,5,10,4,24,0,0,0,0,0,36,45,30,6,118
LGA59320,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,4,6,3,0,12,0,4,0,0,8,0,5,0,0,4,0,0,0,0,3,0,0,0,0,3,6,3,0,0,6,0,0,0,0,0,15,20,11,4,53
LGA59330,4,0,0,0,4,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,5,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,16,12,0,0,33
LGA59340,7,7,0,5,20,7,5,4,3,20,21,8,3,7,46,16,10,14,8,43,34,18,14,3,72,28,23,9,4,64,30,55,20,5,99,32,38,20,6,89,36,28,24,14,104,0,7,3,5,8,229,216,112,59,605
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6
LGA59360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,5,3,0,0,4,5,0,3,0,0,5,0,9,0,0,12,0,0,0,0,0,0,14,3,0,23,0,0,0,0,0,14,36,13,4,63
LGA59370,0,0,0,0,4,0,0,0,0,0,18,9,9,0,39,19,15,8,0,44,12,16,4,3,39,14,14,11,0,40,17,7,9,8,38,8,18,6,0,29,13,16,3,3,37,0,0,0,0,0,105,94,51,19,269
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
