LGA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
LGA52310,176,5,0,0,6,3,184,60,6,0,0,6,0,67,59,6,0,0,6,4,67,116,5,0,0,5,0,121,130,10,0,0,10,4,138,147,0,0,0,0,0,151,96,3,0,0,3,0,100,35,0,0,0,0,0,32,7,0,0,0,0,0,7,827,23,0,0,24,17,867,131,3,0,0,3,23,157,47,0,0,0,0,8,56,78,3,0,0,3,16,95,81,5,0,0,5,18,99,119,0,0,0,0,10,131,120,4,0,0,4,14,138,109,0,0,0,0,19,131,43,0,0,0,0,5,48,13,0,0,0,0,6,11,734,14,0,0,14,120,864,121,5,0,0,5,17,142,66,0,0,0,0,10,72,67,4,0,0,6,6,74,66,0,0,0,0,8,75,132,4,0,0,4,12,142,150,3,0,0,3,10,166,142,0,0,0,0,4,151,54,0,0,0,0,6,61,12,0,0,0
LGA52380,36,0,0,0,0,13,46,18,0,0,0,0,3,20,22,0,0,0,0,3,22,17,0,0,0,0,8,19,41,0,0,0,0,9,48,57,4,0,0,4,15,73,26,0,0,0,0,8,28,3,0,0,0,0,0,9,0,0,0,0,0,0,0,214,11,5,0,12,46,267,14,0,0,0,0,9,31,8,0,0,0,0,3,15,15,0,0,0,0,6,24,5,0,0,0,0,4,14,13,4,0,0,4,3,21,40,0,0,0,0,8,51,23,0,0,0,0,11,30,10,0,0,0,0,0,9,0,0,0,0,0,0,0,135,0,0,0,0,47,192,0,0,0,0,0,3,4,14,0,0,0,0,4,19,30,3,0,0,3,3,35,11,3,0,0,3,3,20,26,5,0,0,3,3,31,27,4,0,0,4,3,35,45,3,0,0,3,6,58,13,0,0,0,0,0,11,0,0,0,0
LGA52450,212,14,8,0,25,12,250,182,12,0,0,6,8,200,130,13,0,0,13,10,152,121,19,0,0,19,8,149,168,0,0,0,0,8,176,172,3,0,0,3,3,181,95,4,0,0,4,0,101,63,0,0,0,0,5,69,26,0,0,0,0,4,28,1176,71,8,4,80,59,1306,226,30,4,0,29,17,277,214,11,0,0,11,17,238,127,22,0,0,22,13,159,130,37,4,0,39,14,184,145,15,0,0,14,14,170,176,3,0,0,0,18,196,112,0,0,0,0,11,127,67,0,0,0,0,7,77,22,0,0,0,0,3,25,1216,118,5,0,129,115,1456,229,11,4,6,18,17,260,175,16,0,0,16,6,201,124,19,0,0,18,10,152,118,15,0,0,15,17,155,113,17,0,0,17,10,136,147,0,3,0,3,11,154,136,0,0,0,0,16,151,59,0,0,0,0,5,64,24,0,0,0
LGA52520,242,4,0,0,4,0,244,139,0,0,0,0,9,147,155,13,0,0,17,3,175,128,7,0,0,7,4,147,202,8,0,0,8,14,226,141,3,0,0,3,9,151,92,0,0,0,0,3,100,62,0,0,0,0,4,69,11,0,0,0,0,0,18,1174,44,0,0,50,42,1268,241,26,6,0,32,26,294,100,17,0,0,17,14,134,176,18,0,0,18,20,211,143,39,0,0,40,26,205,138,17,0,0,17,16,176,175,8,0,0,8,15,205,92,5,0,0,5,9,112,61,0,0,0,0,7,67,19,4,0,0,4,3,27,1147,142,4,0,142,139,1428,225,25,5,3,30,47,298,87,18,0,0,18,13,118,132,18,0,0,18,25,176,134,44,0,0,44,32,211,109,21,4,0,24,28,155,167,4,0,0,4,33,204,101,4,0,0,4,19,118,53,0,0,0,0,10,63,30,0,0,0
LGA52590,561,8,0,0,8,46,611,172,10,8,0,22,31,221,284,27,19,0,46,35,362,377,15,0,0,13,40,430,425,16,0,0,16,37,479,452,14,0,0,19,47,522,307,11,0,0,11,35,350,152,5,0,0,3,19,177,29,0,0,0,0,0,37,2762,97,37,0,138,287,3183,441,12,4,0,11,44,495,207,8,0,0,13,19,233,284,35,9,0,43,37,365,318,21,3,0,25,26,367,421,12,0,0,10,34,457,483,11,5,0,11,51,549,429,10,0,0,7,39,482,189,6,0,0,6,26,218,36,0,0,0,0,8,49,2807,104,20,0,124,281,3212,421,20,4,0,21,28,471,187,8,0,0,8,27,224,263,43,8,0,50,55,368,294,28,0,0,27,45,364,367,10,0,0,10,39,413,527,11,0,0,15,41,589,528,16,0,0,16,59,599,237,0,0,0,0,26,265,57,0,0,0
LGA52660,2655,70,22,5,98,101,2851,1488,40,3,0,45,69,1599,1495,77,3,0,81,65,1632,1622,84,10,0,97,61,1783,1555,82,0,0,81,72,1714,1223,44,3,0,51,38,1312,753,23,5,0,27,36,814,438,25,5,0,33,17,490,176,16,3,0,13,9,202,11406,459,53,14,523,473,12403,2734,105,35,7,144,147,3028,1555,52,10,0,62,90,1706,1597,127,16,0,143,95,1836,1519,142,6,0,153,107,1780,1671,102,18,0,119,101,1888,1472,56,6,0,61,123,1657,1041,42,7,0,49,84,1177,613,19,3,0,22,59,699,221,11,0,0,16,32,273,12428,660,96,8,765,838,14028,2666,174,31,13,219,103,2991,1417,67,3,0,68,41,1526,1603,130,18,0,145,89,1843,1594,232,14,0,252,93,1927,1626,109,3,0,114,109,1851,1611,77,10,0,85,102,1805,1352,46,11,0,49,84,1489,793,19,0,0,19,88,900,265,9,0,0
LGA52730,925,33,3,0,36,43,998,406,17,3,0,18,18,445,350,12,0,0,17,14,380,575,37,0,0,37,24,634,797,27,0,0,26,43,867,781,25,0,0,30,28,837,597,17,0,0,16,20,629,278,3,4,0,6,18,297,92,4,0,0,4,4,101,4798,172,19,4,186,214,5197,860,43,7,0,56,96,1011,462,14,4,0,20,25,511,314,27,4,0,31,31,383,526,47,5,0,45,64,636,756,38,3,0,35,82,868,877,16,0,0,16,87,976,820,24,0,0,26,81,931,355,8,0,0,13,44,411,102,6,0,0,4,16,118,5071,221,26,6,252,532,5850,929,48,4,5,53,104,1084,453,22,0,0,21,50,522,321,21,0,0,23,45,393,588,43,3,0,46,63,691,700,35,3,0,41,92,833,947,20,0,0,23,83,1055,931,25,0,0,24,81,1042,480,15,0,0,15,45,542,126,3,0,0
LGA52800,958,501,212,12,728,259,1940,557,388,25,5,410,343,1315,661,344,25,3,375,775,1810,548,289,25,3,316,466,1331,530,225,28,0,254,215,1000,406,120,29,0,151,103,658,136,40,26,0,66,22,231,49,32,21,0,55,9,119,9,8,3,0,18,5,34,3862,1952,398,29,2376,2193,8433,905,720,149,34,905,177,1982,449,490,18,12,520,133,1097,606,549,20,5,577,202,1379,515,383,9,5,398,138,1051,501,306,21,11,338,119,955,507,182,25,5,207,73,788,199,82,12,0,99,40,335,55,33,9,0,41,9,101,16,9,13,0,22,3,35,3743,2757,277,65,3103,887,7728,651,497,186,25,708,250,1609,394,410,37,7,461,176,1036,543,430,32,3,466,265,1270,388,351,18,9,378,193,958,392,273,21,8,296,168,858,432,178,13,3,202,146,781,251,79,13,0,93,75,421,62,26,7,0,32,24,119,10,6,8,0
LGA52870,978,20,3,0,32,31,1043,438,10,4,0,21,11,469,355,32,15,0,49,23,432,657,36,0,0,38,27,725,803,36,7,0,42,29,878,839,42,0,0,46,46,922,513,31,0,0,32,14,568,188,15,4,0,17,9,219,64,7,4,0,6,3,71,4839,229,46,7,287,193,5325,939,18,7,0,33,90,1053,458,12,6,0,17,40,512,426,31,26,0,58,34,526,578,26,3,0,28,59,671,753,23,4,0,26,73,853,905,38,8,0,40,91,1037,679,33,3,0,34,79,791,266,14,4,0,20,40,321,88,4,4,0,13,13,110,5092,205,60,7,265,514,5871,936,30,7,0,36,48,1024,483,19,0,0,18,36,537,405,49,10,0,64,31,502,587,49,0,0,50,41,684,755,35,5,0,36,60,847,909,37,4,0,47,53,1009,884,28,0,0,26,62,978,408,16,3,0,21,30,460,114,7,0,0
LGA52940,154,0,0,0,0,0,156,28,0,0,0,0,4,29,85,0,0,0,0,0,88,87,0,0,0,0,0,87,73,5,0,0,5,0,72,117,0,0,0,0,0,119,68,0,0,0,0,0,66,35,0,0,0,0,0,39,17,3,0,0,3,0,22,660,12,0,0,12,7,677,141,0,0,0,3,16,161,45,0,0,0,0,0,51,59,4,0,0,7,7,70,71,0,0,0,0,10,85,86,0,0,0,0,5,94,93,0,0,0,0,4,97,80,3,0,0,3,6,91,32,0,0,0,0,3,41,9,0,0,0,0,0,9,620,14,0,6,14,53,693,134,5,0,0,3,12,152,53,0,0,0,0,4,60,49,6,0,0,6,3,55,80,0,0,0,0,5,86,77,4,0,0,4,10,90,78,0,0,0,0,7,84,112,4,0,0,4,7,126,46,0,0,0,0,3,45,10,0,0,0
LGA53010,117,0,0,0,0,5,120,36,0,0,0,0,0,36,82,4,0,0,4,5,86,78,4,0,0,4,0,82,98,0,0,0,6,5,101,80,0,0,0,0,3,85,55,0,0,0,0,5,64,20,0,0,0,0,0,20,8,0,0,0,0,0,8,582,7,0,0,13,15,605,112,0,0,0,0,13,124,31,0,0,0,0,3,39,83,3,0,0,3,11,99,81,0,0,0,0,9,91,77,0,0,0,0,11,86,100,0,0,0,0,18,118,58,4,0,0,4,6,69,34,5,0,0,4,5,43,5,0,0,0,0,0,5,582,12,3,0,13,79,673,111,0,3,0,5,21,136,35,0,0,0,0,8,39,58,5,0,0,5,12,74,77,0,0,0,0,14,93,71,0,0,0,0,16,89,83,0,0,0,0,13,102,76,3,0,0,3,18,96,31,0,0,0,0,6,44,0,0,0,0
LGA53080,185,10,0,0,10,24,221,97,3,0,0,7,16,120,140,16,0,0,19,34,191,140,13,0,0,13,23,177,143,6,0,0,6,19,166,116,0,0,0,0,13,135,89,8,0,0,6,8,103,17,0,0,0,0,4,25,5,0,0,0,0,0,5,939,59,4,0,67,143,1142,95,9,0,0,9,13,115,41,5,0,0,5,8,54,82,6,0,0,8,24,116,51,7,0,0,7,19,70,108,6,0,0,12,33,148,118,3,0,0,4,20,140,78,4,0,0,3,15,93,25,0,0,0,0,3,31,4,0,0,0,0,0,6,589,43,5,0,48,129,767,57,0,0,0,0,19,74,47,5,0,0,5,10,62,49,19,0,0,22,24,96,37,11,0,0,11,6,53,73,6,0,0,6,29,109,106,0,0,0,0,24,133,80,0,0,0,0,9,95,35,6,0,0,6,4,49,5,0,0,0
LGA53150,1178,73,12,5,82,35,1294,719,40,3,0,45,44,815,540,72,0,0,76,36,652,854,102,0,0,107,47,1008,1028,93,0,3,100,57,1184,866,58,5,0,71,31,967,425,55,6,0,64,17,505,252,56,18,0,77,18,347,124,15,8,0,23,14,158,5977,571,66,8,644,306,6931,1211,63,13,0,76,54,1349,764,49,0,0,49,35,847,596,64,3,0,68,52,712,805,98,0,0,98,60,965,1065,106,0,0,108,75,1244,928,71,0,0,73,55,1057,554,54,5,6,61,37,653,285,42,14,0,61,46,382,84,20,7,0,27,62,167,6279,571,46,3,619,470,7375,1240,76,15,3,94,43,1374,859,38,0,0,36,13,912,606,73,0,0,78,38,717,782,86,3,0,91,55,925,1074,88,6,0,93,35,1198,981,65,0,0,66,34,1081,801,46,3,0,52,26,876,374,55,10,0,60,31,471,175,33,6,0
LGA53220,1085,371,97,17,480,261,1828,968,326,19,7,358,312,1635,2015,393,26,10,427,631,3072,1600,348,21,3,375,495,2475,1246,209,11,8,221,379,1853,594,115,11,3,127,173,893,97,29,3,0,37,17,156,10,13,4,0,22,3,32,5,3,4,0,4,0,4,7628,1811,195,44,2044,2272,11949,993,357,81,20,453,158,1608,586,252,12,0,264,149,999,1851,445,11,4,457,622,2934,1355,382,12,3,404,435,2194,1080,231,10,0,242,366,1684,613,112,16,0,126,203,945,120,40,9,0,52,31,194,11,4,10,0,13,7,24,4,0,0,0,0,0,6,6613,1830,153,30,2014,1965,10591,1016,321,62,9,393,165,1578,551,261,14,3,273,200,1026,1238,425,22,9,451,637,2324,1027,435,18,0,449,538,2020,787,266,11,0,279,407,1476,595,142,13,0,158,279,1035,138,53,11,0,69,42,251,19,7,9,0,19,11,44,0,4,0,0
LGA53290,2748,79,14,5,94,139,2987,1522,56,11,0,68,96,1677,1270,78,13,0,91,92,1457,1700,104,9,0,107,107,1913,1824,70,7,0,78,109,2013,1436,22,0,0,22,78,1536,1001,38,4,0,41,68,1106,537,7,3,0,13,44,595,170,9,0,0,7,7,190,12211,462,50,8,520,747,13478,2556,64,15,3,86,288,2933,1479,58,3,8,69,184,1731,1334,91,12,0,97,200,1632,1455,91,3,0,94,194,1743,1778,68,3,0,69,247,2095,1553,39,3,0,48,195,1796,1184,26,5,0,33,140,1350,601,20,4,0,25,73,698,218,12,0,0,12,29,256,12154,463,46,16,529,1554,14238,2280,126,9,7,148,294,2720,1269,62,6,0,70,148,1488,1294,104,6,0,110,145,1548,1344,128,4,0,135,167,1642,1610,83,0,0,83,204,1899,1656,59,6,0,70,173,1894,1318,27,7,0,29,140,1486,792,18,0,0,21,108,918,260,3,0,0
LGA53360,433,10,5,0,16,28,471,168,12,0,0,8,16,199,330,34,0,0,35,28,394,365,31,0,0,31,34,432,309,15,3,0,17,22,354,277,11,0,0,14,14,313,152,10,0,0,10,10,167,52,3,0,0,3,6,61,6,0,0,0,0,0,7,2100,114,12,0,125,163,2389,498,19,0,0,17,48,565,219,10,0,0,8,27,253,346,33,0,0,33,42,413,373,30,0,0,39,47,455,354,10,3,0,16,31,401,289,12,0,0,12,31,325,219,14,0,0,14,16,243,56,0,0,0,0,0,61,12,0,0,0,0,0,14,2351,129,5,0,134,243,2727,475,22,3,7,31,54,562,266,21,0,0,21,34,323,433,60,3,0,64,44,544,404,39,3,0,40,46,498,353,26,0,0,28,39,425,329,5,0,0,12,36,379,213,9,0,0,9,23,244,90,4,0,0,4,9,101,16,0,0,0
LGA53430,3354,356,79,9,448,146,3946,2420,272,12,4,292,166,2879,3143,499,32,0,534,267,3949,3127,546,26,11,582,184,3894,3184,490,28,3,523,201,3911,2928,444,62,7,513,190,3632,1625,335,134,7,484,112,2224,901,295,235,6,534,103,1541,341,100,114,10,219,47,602,21035,3346,707,59,4119,1422,26583,3370,372,101,14,486,240,4096,2396,259,15,4,278,202,2878,3410,705,41,0,748,420,4582,3038,602,30,3,636,339,4021,3354,499,26,5,526,332,4214,3086,440,62,3,507,295,3889,2158,337,72,8,413,232,2813,993,295,192,7,496,181,1674,343,117,133,3,251,141,736,22159,3626,662,49,4334,2395,28893,3763,480,85,39,605,208,4575,2717,293,7,0,295,189,3203,3650,519,17,0,537,347,4531,3582,635,18,0,652,271,4498,3502,514,29,0,546,288,4338,3737,436,30,3,471,215,4423,2993,353,64,0,417,161,3573,1436,266,112,0,382,116,1936,477,123,160,0
LGA53570,802,43,7,0,55,69,920,325,27,7,0,28,30,384,300,51,7,0,60,25,386,540,45,3,0,48,60,652,558,38,4,0,44,42,642,732,36,0,0,35,56,821,564,18,0,0,18,29,610,198,12,4,0,14,16,223,44,0,0,0,0,3,53,4060,274,28,0,299,322,4686,759,45,5,0,51,70,887,351,39,19,0,62,29,441,340,68,67,0,133,36,509,446,54,7,0,60,58,569,629,29,11,0,36,67,734,744,43,0,0,45,82,871,700,33,4,0,36,66,805,281,20,4,0,16,37,333,64,0,0,0,0,7,72,4309,325,112,3,437,464,5218,703,41,0,0,46,51,794,380,44,11,0,50,27,462,341,127,53,11,187,44,574,453,61,11,5,78,44,577,641,55,8,0,66,77,782,788,41,7,0,48,65,898,822,28,7,0,33,73,928,405,15,3,0,23,39,462,79,3,4,0
LGA53640,319,3,3,0,3,5,328,111,0,0,0,0,8,116,153,4,0,0,4,3,156,154,7,0,0,7,8,159,174,5,0,0,5,12,191,172,6,0,0,6,8,186,73,0,0,0,0,3,75,38,0,0,0,0,0,37,12,0,0,0,0,0,12,1198,26,3,0,24,48,1272,209,23,3,0,24,11,244,100,0,0,0,0,10,102,148,17,0,0,17,13,179,124,15,0,0,15,8,146,146,8,0,0,11,28,178,175,3,0,0,3,23,202,89,3,0,0,3,13,106,32,0,0,0,0,6,34,9,0,0,0,0,0,15,1032,64,3,0,71,115,1219,207,24,0,0,27,27,261,91,5,0,0,5,10,98,142,14,0,0,14,13,175,120,18,0,0,18,15,155,134,15,0,0,15,7,150,160,6,0,0,8,16,181,128,0,0,0,0,8,143,37,0,0,0,0,0,34,13,0,0,0
LGA53710,210,9,0,0,9,12,233,66,3,0,0,3,6,70,90,4,0,0,4,0,98,120,9,0,0,9,7,133,132,3,0,0,3,3,138,137,5,0,0,5,0,141,93,0,0,0,4,7,101,44,0,0,0,0,3,52,15,0,0,0,0,0,13,915,28,0,0,29,40,984,181,4,0,0,7,14,205,60,3,0,0,3,10,72,102,3,0,0,3,8,111,100,0,0,0,0,16,114,131,4,0,0,4,12,147,136,0,0,0,0,15,149,107,3,0,0,3,9,120,62,0,0,0,0,8,73,29,0,0,0,0,7,31,910,20,0,0,24,96,1036,157,0,0,0,0,10,166,55,3,0,0,3,14,76,66,0,0,0,0,8,65,106,0,0,0,0,10,117,105,0,0,0,0,19,122,138,3,0,0,3,19,153,139,0,0,0,0,20,158,54,0,0,0,0,13,68,24,0,0,0
LGA53780,16417,3519,1174,137,4830,1355,22598,11160,3132,245,52,3433,1062,15654,10841,4160,509,51,4725,1209,16782,10639,3423,671,33,4133,961,15730,9928,2325,508,23,2858,722,13507,8856,1555,447,12,2021,562,11446,5320,700,248,12,958,284,6556,2517,313,181,5,497,245,3260,748,94,53,0,148,153,1053,76429,19231,4035,331,23598,6559,106587,15608,5849,1989,140,7980,1072,24657,10002,4708,302,46,5059,862,15926,9685,7220,982,55,8259,1242,19192,9249,6115,1103,39,7257,1077,17584,9645,3510,964,32,4504,754,14908,8608,1988,743,25,2762,623,11983,6458,1017,414,12,1439,380,8280,3152,460,215,0,674,288,4113,1004,139,88,0,231,192,1429,73405,31018,6799,347,38163,6500,118073,15058,7938,1711,380,10032,1174,26265,9957,5304,199,6,5504,786,16250,8325,7226,722,18,7961,1333,17620,9052,8521,1043,15,9583,1224,19859,9455,4704,1148,18,5871,906,16225,8805,2618,991,12,3614,525,12945,7485,1517,774,13,2305,389,10175,4074,523,285,8,817,275,5162,1318,178,134,5
LGA53800,7426,380,86,14,490,390,8299,4522,228,8,0,238,312,5069,3704,306,25,3,333,342,4377,4622,376,14,6,405,294,5320,4736,264,34,6,299,258,5291,3867,143,38,0,182,196,4244,2286,115,19,5,142,117,2551,1311,74,20,3,98,108,1518,393,23,14,0,35,53,487,32869,1919,263,40,2221,2066,37157,6866,479,101,10,586,580,8037,4148,294,12,4,307,427,4883,3758,420,36,8,463,491,4709,3896,541,22,7,573,466,4934,4698,415,42,0,459,484,5641,4092,210,42,10,258,392,4739,2853,123,35,5,167,240,3256,1533,92,23,0,111,169,1806,538,24,19,0,44,53,636,32376,2602,325,37,2967,3291,38632,6501,537,82,25,643,715,7863,3871,275,7,0,287,423,4581,3692,435,31,0,466,526,4684,3690,590,26,4,620,550,4866,4397,449,40,8,495,488,5377,4454,262,43,0,310,402,5164,3519,135,39,0,175,287,3981,1833,88,20,0,112,207,2149,647,40,15,0
LGA53920,469,438,115,9,565,42,1068,252,314,26,5,344,13,602,303,268,15,0,288,29,620,193,199,12,0,210,14,420,189,152,7,0,167,17,374,188,89,12,3,108,11,303,56,41,14,6,55,3,119,13,13,6,3,27,0,39,4,4,4,9,14,0,18,1654,1515,217,39,1772,132,3561,406,220,64,21,303,164,871,241,171,17,3,194,99,541,235,215,15,11,241,137,607,176,148,4,5,158,109,445,164,97,7,12,106,71,341,159,83,6,0,88,41,292,59,44,3,5,52,16,122,7,11,5,5,20,7,39,0,5,0,0,5,0,11,1442,990,124,60,1175,644,3267,359,345,84,26,456,73,890,261,324,5,15,350,40,648,235,297,13,3,316,58,605,189,242,0,13,262,55,505,161,188,6,3,197,63,421,139,87,8,4,101,41,277,73,51,7,6,65,20,158,19,12,10,3,24,16,62,3,4,0,0
LGA53990,4873,168,46,3,215,254,5344,2602,94,13,5,116,143,2856,2381,171,37,6,212,173,2767,2999,229,9,3,245,181,3428,3085,185,5,7,192,176,3452,2506,136,6,4,153,139,2790,1457,118,13,0,133,70,1665,623,49,17,0,72,46,740,169,13,10,0,21,10,198,20682,1166,162,28,1359,1196,23239,5268,245,70,0,312,305,5890,2652,144,27,0,171,236,3060,2581,288,59,0,348,215,3139,2981,306,15,5,322,248,3551,3249,231,18,0,240,272,3761,2894,196,13,5,208,232,3332,2064,131,7,4,141,216,2415,894,77,11,0,87,116,1101,232,20,9,0,30,25,292,22806,1635,218,16,1869,1870,26549,5368,297,85,22,398,203,5963,2814,185,4,0,194,143,3146,2604,389,75,3,461,166,3228,3109,453,28,0,486,174,3762,3270,261,21,0,289,183,3741,3378,187,13,0,197,213,3784,2765,140,14,8,162,133,3061,1267,98,8,3,108,87,1466,335,26,6,0
LGA54060,691,20,0,0,20,41,752,304,3,0,0,3,8,310,264,9,0,0,9,18,286,424,11,0,0,13,22,465,498,11,0,0,11,25,529,516,10,0,0,10,17,539,394,13,0,0,13,14,420,193,4,0,0,4,15,206,48,0,0,0,0,3,52,3323,79,6,0,80,160,3569,568,14,0,0,14,30,608,283,0,0,0,4,13,297,252,10,0,0,4,22,286,339,18,0,0,16,26,389,446,9,0,0,7,37,490,547,7,0,0,7,35,586,506,12,0,4,14,48,567,241,9,0,0,10,9,259,76,0,0,0,0,6,90,3255,73,5,5,83,227,3569,485,14,0,0,15,56,551,274,4,0,0,4,26,308,180,15,0,0,12,32,222,292,18,0,0,18,48,359,421,11,0,0,11,51,479,564,12,0,0,9,67,644,609,3,0,0,3,59,673,315,5,0,0,5,45,362,68,0,0,0
