LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA53710,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,10,21,14,17,4,0,5,0,0,3,74
LGA53780,21,15,47,138,487,529,112,15,9,38,1426,4,5,12,6,22,94,308,479,152,13,4,31,1129,6,0,5,6,10,23,139,281,95,18,5,6,603,0,0,3,12,10,34,125,243,137,18,13,10,607,0,5,7,6,10,18,46,149,109,36,3,18,407,7,0,11,26,12,40,195,293,105,23,18,47,772,4,0,8,15,8,19,18,13,3,0,0,54,143,67,80,428,498,470,1179,3109,3251,930,153,91,430,10677
LGA53800,17,32,56,79,181,76,7,0,3,33,487,0,0,17,25,37,78,155,97,19,4,3,23,452,0,0,5,6,14,24,106,62,8,4,3,8,242,0,0,5,9,14,28,67,90,23,4,5,21,267,0,4,3,8,3,21,35,48,28,0,5,15,162,0,0,9,21,25,43,103,71,14,3,0,13,312,6,0,14,13,6,9,8,0,0,0,0,19,66,37,48,316,561,507,787,1103,614,111,30,28,225,4372
LGA53920,19,7,3,0,4,0,0,0,3,13,85,8,3,9,5,0,0,3,0,0,0,5,10,51,3,3,5,8,3,0,3,0,0,0,0,5,29,7,3,4,8,0,0,0,0,0,0,5,10,32,0,0,4,0,0,8,3,0,0,0,0,10,28,17,13,12,6,3,0,3,0,0,0,0,7,65,15,3,4,0,0,0,0,0,0,0,0,7,32,201,129,154,62,14,28,30,12,3,0,9,98,752
LGA53990,4,15,19,30,63,75,16,3,0,12,239,3,0,6,3,14,22,64,112,17,0,0,15,256,0,0,0,0,5,10,25,53,14,0,0,4,116,0,0,0,0,0,4,33,48,19,5,6,10,125,0,0,3,0,3,5,17,41,17,10,4,14,115,0,0,6,3,10,11,46,80,16,5,0,13,191,0,0,7,6,4,0,3,0,0,0,0,11,30,11,15,118,111,150,219,555,676,119,24,16,95,2113
LGA54060,0,0,3,6,10,3,0,0,6,7,32,0,0,4,0,0,12,11,4,0,0,4,0,38,0,0,0,0,4,0,10,4,0,0,4,4,22,0,0,0,0,0,5,4,5,0,0,0,0,16,0,0,0,0,0,3,4,4,0,3,9,0,18,0,0,3,0,0,7,12,8,0,0,0,0,28,0,0,5,0,0,0,0,0,0,0,0,0,6,0,8,45,42,33,82,92,46,6,6,17,36,402
LGA54130,11,5,4,0,0,0,0,0,0,7,27,0,0,6,0,3,0,4,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,3,11,10,23,20,14,19,8,3,5,0,4,25,131
LGA54170,8,19,15,30,168,505,246,68,39,24,1132,0,0,8,16,19,24,129,554,254,116,65,23,1205,4,0,3,11,5,19,62,272,234,74,46,13,740,0,0,6,12,3,14,71,250,242,172,124,20,911,0,0,4,3,3,9,23,117,194,157,275,11,802,0,0,6,4,6,12,58,267,191,115,98,29,802,0,0,5,0,4,3,8,21,16,3,0,38,105,32,24,215,251,181,349,1291,3391,1811,806,735,289,9375
LGA54200,9,5,12,20,89,236,65,7,10,11,461,4,0,4,4,5,8,71,210,89,15,8,8,425,0,0,0,3,4,8,34,110,50,7,6,4,233,0,0,0,4,4,5,37,100,73,15,5,5,251,0,0,4,0,4,4,13,63,62,26,16,5,197,0,0,6,8,9,4,30,117,70,23,9,28,300,0,0,4,0,3,0,7,3,0,0,0,14,36,18,20,147,139,109,169,704,1400,550,115,62,158,3579
LGA54280,34,38,47,82,145,138,24,14,0,34,552,3,3,17,32,32,79,132,161,65,9,7,43,572,0,3,4,11,12,47,57,84,30,15,3,10,277,0,0,14,16,23,50,107,166,71,36,9,24,505,0,6,15,14,15,49,76,116,81,51,30,30,476,0,6,15,15,14,22,60,67,36,21,5,8,268,0,0,11,3,0,3,8,3,3,0,0,24,64,15,47,279,238,265,504,845,877,329,151,62,228,3852
LGA54310,25,14,31,46,61,58,42,27,44,42,429,38,18,40,22,33,42,58,73,50,45,77,58,557,22,14,12,16,14,21,21,31,24,24,52,31,279,70,26,29,35,26,42,68,46,54,57,133,76,655,354,31,71,75,28,58,73,42,64,43,238,130,1207,54,10,17,23,14,19,30,30,25,20,67,29,333,4,0,0,3,0,0,3,0,3,0,4,15,38,595,119,286,253,188,291,387,346,299,251,661,456,4134
LGA54340,0,11,7,17,14,0,0,0,0,3,63,0,0,3,15,9,9,7,6,0,0,0,0,48,0,0,4,5,0,7,3,0,0,0,0,0,26,0,0,0,0,4,5,6,0,0,0,0,0,21,0,0,0,0,0,7,5,0,0,0,0,0,18,0,0,4,3,4,9,9,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,6,10,9,15,68,105,59,80,65,21,0,4,5,24,455
LGA54410,0,0,0,3,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,22,27,12,14,8,0,0,0,0,11,103
LGA54480,0,3,0,0,0,0,0,0,0,4,10,0,0,0,3,0,0,0,0,0,0,0,4,11,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,10,0,0,0,0,0,0,0,15,46
LGA54550,3,0,5,7,0,0,0,0,0,3,22,0,0,0,3,0,3,4,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,4,9,0,0,0,4,0,0,4,0,0,0,0,3,16,0,0,5,0,0,0,0,0,0,0,0,0,4,8,8,35,35,31,24,30,7,0,0,0,18,202
LGA54620,3,3,0,0,0,0,0,0,0,4,13,4,0,0,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,15,18,3,6,5,0,0,0,7,12,96
LGA54690,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,3,35
LGA54760,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,19,6,3,3,0,0,0,0,4,49
LGA54830,5,9,23,58,191,233,17,0,5,14,558,0,0,6,5,7,22,112,201,26,3,0,10,395,0,0,0,4,4,23,50,116,26,0,4,5,237,0,0,0,0,3,24,50,120,28,0,3,5,233,0,0,5,7,3,4,20,57,25,8,4,8,141,0,0,5,4,13,37,91,138,30,0,5,21,339,3,4,9,7,4,4,6,12,0,0,0,19,68,35,33,238,296,248,578,1167,1368,189,21,28,163,4347
LGA54900,0,3,5,5,0,0,0,0,0,4,16,0,0,0,9,4,0,0,0,0,0,0,7,19,0,0,0,0,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,4,0,0,0,0,0,0,0,0,4,3,12,14,24,19,13,3,3,0,0,0,18,109
LGA54970,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,8,5,9,8,0,0,0,0,0,29,132
LGA55040,4,3,0,0,0,3,0,0,0,7,32,7,0,3,3,0,3,0,4,0,0,0,11,24,9,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,3,0,3,0,0,0,0,0,4,19,5,0,0,4,0,0,0,0,7,0,0,8,26,7,0,0,0,0,0,3,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,63,7,17,26,5,8,10,13,7,0,0,36,191
LGA55110,9,23,31,116,291,311,61,14,4,21,882,4,0,11,8,12,64,243,287,71,20,12,15,740,0,0,3,3,6,27,92,140,53,7,7,4,330,3,0,3,5,4,20,95,172,65,23,5,10,410,0,0,4,6,3,17,48,111,84,28,14,10,334,3,0,8,22,23,50,184,262,104,27,13,36,722,4,0,23,23,9,18,24,22,4,0,3,58,188,52,48,409,623,497,1357,2678,2311,582,140,85,328,9112
LGA55180,7,12,9,17,37,14,6,0,0,3,111,0,0,0,0,0,12,19,11,6,0,0,3,58,5,0,3,3,0,4,10,8,0,0,0,0,34,0,0,0,0,4,8,6,4,0,0,0,7,32,0,0,0,0,0,0,4,4,0,0,10,0,26,0,0,0,0,3,5,16,7,0,0,0,0,38,0,0,3,5,0,4,3,0,0,0,0,4,29,27,9,105,169,100,143,196,86,17,4,21,57,921
LGA55250,10,0,0,3,0,0,0,0,0,8,20,0,0,5,0,4,0,5,0,0,0,0,10,18,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,7,4,0,7,0,0,0,0,0,0,0,0,4,9,0,0,0,3,0,0,0,0,0,0,0,9,14,28,12,43,15,6,12,4,5,0,0,0,40,164
LGA55320,18,18,22,38,136,352,204,77,38,21,917,5,0,8,10,16,38,108,335,247,95,70,28,952,0,0,0,10,0,9,53,157,163,77,50,12,535,0,0,3,7,3,8,78,211,251,130,106,18,807,0,0,9,6,6,9,22,126,228,197,377,20,1002,0,0,11,11,7,10,37,157,146,80,82,23,577,0,0,15,9,0,9,6,10,0,4,5,27,81,43,50,454,320,199,376,1083,2239,1570,768,798,260,8156
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,10,40
LGA55460,6,5,5,12,11,3,0,0,0,3,49,0,0,0,3,3,7,11,12,4,0,0,4,44,0,0,0,0,0,4,0,3,0,0,0,3,13,0,0,0,0,0,7,3,4,0,0,0,5,19,0,0,0,0,0,3,4,3,0,0,0,0,14,0,0,0,9,0,4,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,44,84,29,75,48,32,8,0,3,33,370
LGA55530,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,9,28
LGA55600,0,4,8,5,3,0,3,0,0,0,23,0,3,0,4,9,9,3,6,0,0,0,5,27,0,0,0,3,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,6,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,25,36,55,25,5,5,0,0,17,198
LGA55670,0,0,0,5,0,0,0,0,0,4,7,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,10,8,3,0,0,0,0,14,56
LGA55740,0,4,8,15,30,23,11,7,12,3,115,0,0,0,5,0,17,25,28,10,5,15,7,108,0,0,0,0,0,3,9,11,4,4,6,0,43,0,0,0,0,3,5,10,12,19,4,18,0,78,0,0,0,0,0,3,3,6,18,15,91,3,135,0,0,0,3,0,7,17,8,5,3,17,5,62,0,0,8,0,0,9,0,0,0,0,0,4,21,12,13,92,51,86,193,235,160,107,38,173,43,1208
LGA55810,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,15,6,5,0,0,0,0,0,9,55
LGA55880,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,14,0,0,0,0,0,0,0,9,40
LGA55950,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,10,10,0,0,0,0,0,3,6,51
LGA56090,7,6,6,10,41,61,18,8,4,8,164,0,0,3,0,0,16,32,49,25,6,0,6,141,0,0,4,0,0,3,9,29,19,0,0,0,67,0,0,0,3,0,5,3,34,28,7,4,0,89,0,0,4,0,3,6,3,17,17,13,14,3,78,0,0,5,6,3,6,13,46,45,24,9,10,159,0,0,3,11,0,4,3,4,3,0,0,15,40,25,11,87,79,56,127,298,437,195,68,32,83,1507
LGA56160,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,16,34
LGA56230,0,0,3,13,49,28,12,0,4,8,123,0,0,0,3,3,15,39,44,7,4,4,7,124,0,0,0,0,0,0,20,32,3,0,0,3,57,0,0,4,0,3,0,23,18,3,6,0,4,69,0,0,0,0,3,0,5,18,8,0,0,0,42,0,0,3,0,11,6,33,39,8,0,0,9,115,0,0,3,4,0,7,4,6,0,0,0,8,27,11,11,52,84,103,167,404,292,63,10,10,60,1270
LGA56300,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,0,0,0,0,4,0,0,0,3,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,15,13,24,41,10,0,0,0,13,125
LGA56370,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,15,8,9,3,0,0,0,0,0,10,62
LGA56460,0,5,14,20,28,9,0,0,0,4,67,0,0,4,7,8,15,14,8,0,0,0,0,55,0,0,0,0,4,6,10,3,0,0,0,0,19,0,0,0,0,0,12,6,7,0,0,0,4,28,0,0,0,0,4,3,3,7,0,0,0,0,17,0,0,0,8,4,0,9,7,0,0,0,0,32,0,0,3,4,4,3,0,0,0,0,0,3,15,3,13,71,56,91,136,104,49,5,0,3,27,552
LGA56580,0,3,0,4,5,34,31,14,20,0,124,0,0,0,5,0,22,7,31,32,23,41,7,162,0,0,0,0,0,16,7,16,25,4,22,0,95,0,0,0,0,4,33,15,13,34,16,70,3,184,0,0,3,0,0,7,9,19,24,37,335,14,453,0,0,0,3,4,11,16,9,15,13,67,9,144,0,0,6,0,0,3,0,0,0,0,5,4,15,8,8,84,64,23,121,105,219,209,152,614,57,1663
LGA56620,0,0,0,0,0,0,0,0,0,11,47,9,0,0,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,4,4,22,13,0,0,0,0,0,0,0,0,0,0,30,10,10,0,0,0,0,0,0,0,0,0,4,16,177,51,17,4,0,0,0,0,0,0,0,49,294
LGA56730,7,10,8,38,30,22,0,4,0,5,116,0,0,0,3,10,17,33,16,0,0,0,6,91,0,0,0,3,0,6,14,8,0,0,0,6,44,0,0,0,0,4,5,22,12,4,0,0,4,53,0,0,0,5,4,3,18,8,3,0,0,0,44,0,0,8,0,7,11,19,10,5,0,0,3,62,0,0,4,0,3,0,5,0,0,0,0,5,21,7,18,93,99,92,236,227,121,24,0,3,55,981
LGA56790,0,5,6,8,8,0,4,0,3,3,43,0,0,7,0,4,0,10,6,0,0,4,11,47,0,0,0,0,0,0,3,0,0,0,0,4,21,0,0,0,0,3,9,4,5,0,0,8,8,39,4,0,0,0,0,0,6,0,0,0,5,10,32,0,0,0,0,0,6,4,0,0,0,3,0,14,0,0,0,0,0,0,3,0,0,0,0,0,9,6,0,23,44,42,56,63,25,13,3,37,73,395
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,0,0,0,0,0,0,0,0,18
LGA56930,0,0,0,3,0,0,0,0,0,3,14,0,0,0,0,0,0,3,0,5,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,21,0,23,0,0,0,0,0,0,0,0,6,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,23,12,11,14,0,37,6,107
LGA57000,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,5,0,0,0,0,5,32
LGA57080,6,14,21,51,158,502,203,75,50,24,1102,0,0,3,0,10,53,143,496,299,102,80,22,1224,0,0,0,9,4,9,46,159,130,44,35,3,441,0,0,0,4,9,10,49,251,255,104,98,18,794,0,0,4,0,0,6,40,200,264,183,335,22,1062,0,0,8,0,4,12,32,125,122,55,53,21,437,5,6,7,5,0,4,7,11,14,6,21,26,111,35,34,247,209,163,488,1067,2602,1675,700,777,233,8231
LGA57140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,3,4,4,20,18,10,24,11,0,0,0,0,10,104
LGA57210,3,5,5,13,6,5,3,0,0,5,41,0,0,0,0,3,13,7,4,0,0,3,5,34,0,0,0,0,0,0,10,0,0,0,0,0,20,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,3,10,0,0,3,4,5,6,4,0,0,0,0,3,24,0,0,0,9,0,4,0,0,0,0,0,0,12,12,5,40,80,54,103,49,17,9,0,6,28,395
LGA57280,31,39,25,37,31,48,41,12,22,58,368,78,9,49,30,24,45,40,67,54,33,45,75,542,14,4,34,13,10,14,17,26,23,17,19,24,230,101,9,117,18,35,32,22,37,55,39,76,73,620,169,12,177,27,33,33,24,44,65,50,101,94,828,47,10,40,11,7,15,15,24,19,14,32,35,266,6,7,12,6,5,5,0,5,0,0,3,30,85,493,77,548,203,178,248,226,304,304,177,337,451,3554
LGA57350,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,15,7,10,5,0,0,0,0,0,8,54
LGA57420,3,4,4,3,7,4,0,0,0,12,30,0,0,4,4,5,15,7,0,0,0,0,4,38,0,0,3,0,3,0,0,3,0,0,0,6,19,0,0,0,0,0,0,3,6,0,0,0,7,22,0,0,3,0,0,0,0,0,3,0,0,11,25,0,0,0,3,0,0,0,6,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,32,20,22,42,27,23,3,0,4,62,239
LGA57490,8,17,41,150,500,627,100,12,8,33,1500,4,0,6,14,21,103,328,613,112,18,14,28,1274,0,0,0,9,14,54,140,343,75,10,3,8,662,0,0,5,5,8,46,132,349,129,24,12,17,724,0,0,3,10,3,27,69,205,100,44,16,13,486,0,0,12,24,17,91,259,532,126,25,9,58,1146,3,0,13,13,4,15,37,21,6,3,6,52,178,51,60,390,505,516,1453,3504,4232,823,161,96,399,12188
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
LGA57700,0,4,4,6,27,96,24,9,8,6,179,0,0,0,0,0,4,27,88,27,3,4,3,165,0,0,0,5,3,6,8,35,10,3,0,0,72,0,0,0,0,0,0,7,45,24,6,6,3,94,0,0,0,0,0,4,3,29,16,11,3,4,67,0,0,0,0,3,3,19,64,22,6,5,3,127,0,0,0,0,0,0,0,5,0,0,0,3,11,5,5,17,32,38,60,228,615,172,45,30,55,1301
LGA57770,0,0,6,6,9,0,0,0,0,5,28,0,0,0,0,0,0,5,3,0,0,3,9,31,0,0,0,3,0,4,7,3,0,0,0,7,23,4,0,0,3,0,0,0,6,0,0,3,11,28,4,0,0,0,3,0,0,9,3,0,15,9,35,0,0,0,0,0,6,5,0,0,0,0,18,33,0,0,0,0,0,3,0,0,0,0,3,3,12,8,7,28,21,20,28,39,19,6,5,37,86,308
LGA57840,20,16,18,47,237,288,106,30,41,11,819,0,0,7,11,12,33,175,306,142,65,50,21,818,0,0,10,8,4,17,79,153,94,31,31,3,433,0,0,4,3,14,12,68,139,154,83,71,15,557,0,0,0,4,0,14,45,116,137,144,248,10,727,3,0,6,14,4,19,74,128,70,44,55,23,440,0,0,9,3,7,6,7,5,9,0,0,25,73,38,63,327,246,161,446,1423,1702,905,460,547,206,6519
