Table_Number,Year,Measure,Age,Indigenous_Status,Remoteness,Service_Type,Client_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
19A.11,2016-17,Addressing client needs,All ages,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Support needs of clients; summary (closed support periods),Aboriginal and Torres Strait Islander clients,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,56.7,60.1,62.6,66.7,64.0,32.4,63.9,55.8,60.6
19A.11,2016-17,Addressing client needs,All ages,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Support needs of clients; summary (closed support periods),Aboriginal and Torres Strait Islander clients,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,2.9,1.7,1.1,0.2,0.1,4.9,0.5,0.2,1.5
19A.11,2016-17,Addressing client needs,All ages,Aboriginal and Torres Strait Islander people,All areas,,Aboriginal and Torres Strait Islander people,,Support needs of clients; summary (closed support periods),Aboriginal and Torres Strait Islander clients,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,15633.0,7574.0,11719.0,8490.0,3826.0,907.0,480.0,5456.0,54748.0
19A.11,2016-17,Addressing client needs,All ages,All people,All areas,,People born in non-main English speaking countries,,Support needs of clients; summary (closed support periods),Non-main English speaking countries clients,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,96.8,93.9,98.6,99.3,100.0,96.0,94.8,100.0,95.8
19A.11,2016-17,Addressing client needs,All ages,All people,All areas,,People born in non-main English speaking countries,,Support needs of clients; summary (closed support periods),Non-main English speaking countries clients,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,3.2,6.1,1.4,0.7,0.0,4.0,5.2,0.0,4.2
19A.11,2016-17,Addressing client needs,All ages,All people,All areas,,People born in non-main English speaking countries,,Support needs of clients; summary (closed support periods),Non-main English speaking countries clients,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,61.2,62.6,50.4,44.5,69.9,30.2,50.8,62.5,59.6
19A.11,2016-17,Addressing client needs,All ages,All people,All areas,,People born in non-main English speaking countries,,Support needs of clients; summary (closed support periods),Non-main English speaking countries clients,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,1.7,1.0,1.0,0.3,0.0,4.8,1.8,0.6,1.2
19A.11,2016-17,Addressing client needs,All ages,All people,All areas,,People born in non-main English speaking countries,,Support needs of clients; summary (closed support periods),Non-main English speaking countries clients,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,4879.0,10381.0,2110.0,1460.0,883.0,249.0,536.0,182.0,20508.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,46.5,64.8,60.8,92.0,84.1,76.9,55.3,91.2,64.3
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,53.5,35.2,39.2,8.0,15.9,23.1,44.7,8.8,35.7
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.6,35.4,37.3,65.0,21.4,25.6,11.8,77.1,34.9
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.2,12.0,12.4,16.0,46.1,32.8,25.2,2.7,16.6
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,31975.0,36094.0,19595.0,13051.0,7052.0,4083.0,1713.0,4105.0,116087.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,73.6,88.0,86.6,94.4,99.1,71.1,82.7,94.1,83.8
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,26.4,12.0,13.4,5.6,0.9,28.9,17.3,5.9,16.2
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,62.2,79.3,73.8,81.2,97.8,58.7,61.7,89.8,73.7
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,4.4,2.4,2.2,5.0,0.2,9.4,7.0,2.3,3.2
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,19563.0,24078.0,9815.0,2677.0,3063.0,637.0,682.0,1007.0,60808.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,56.2,61.9,63.6,71.3,62.9,55.7,51.1,73.3,60.9
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,43.8,38.1,36.4,28.7,37.1,44.3,48.9,26.7,39.1
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,21.8,35.1,27.6,28.1,1.0,26.4,12.7,34.2,26.2
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.3,15.3,23.4,25.9,61.2,18.6,24.6,25.0,22.3
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,5455.0,4478.0,2170.0,1445.0,901.0,458.0,276.0,292.0,15139.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,74.5,80.5,76.9,81.6,90.5,80.3,82.1,89.2,79.7
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.5,19.5,23.1,18.4,9.5,19.7,17.9,10.8,20.3
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,33.3,46.4,41.6,41.4,30.3,32.7,45.6,48.8,39.6
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.8,17.2,16.5,16.1,35.6,15.9,13.5,13.5,19.6
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,4388.0,4243.0,1569.0,1604.0,1370.0,315.0,296.0,510.0,14085.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,53.8,58.9,59.5,66.5,86.3,57.1,58.0,80.6,59.6
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,46.2,41.1,40.5,33.5,13.7,42.9,42.0,19.4,40.4
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.8,29.2,31.1,31.8,4.1,26.8,12.0,47.2,26.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,21.7,16.9,19.4,24.9,82.2,23.2,28.0,19.4,22.5
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,697.0,657.0,299.0,173.0,73.0,56.0,50.0,36.0,1990.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,54.0,57.3,62.2,62.7,62.0,66.2,56.8,77.1,58.9
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,46.0,42.7,37.8,37.3,38.0,33.8,43.2,22.9,41.1
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,24.7,33.3,28.1,27.5,1.2,39.1,6.3,34.4,26.2
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,20.2,13.6,23.8,17.9,60.4,14.6,36.8,21.4,22.1
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,1815.0,1317.0,780.0,826.0,434.0,151.0,95.0,131.0,5398.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,62.6,72.9,73.1,77.1,74.1,77.4,67.3,83.1,71.6
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,37.4,27.1,26.9,22.9,25.9,22.6,32.7,16.9,28.4
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,22.4,33.8,41.4,23.3,16.3,49.7,22.6,31.4,28.1
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,26.3,26.8,18.2,32.7,52.5,20.0,20.1,25.3,29.9
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,2505.0,2553.0,1409.0,1204.0,1630.0,155.0,159.0,491.0,9930.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,85.1,94.6,91.5,94.7,97.8,78.3,77.5,97.6,92.5
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,14.9,5.4,8.5,5.3,2.2,21.7,22.5,2.4,7.5
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,58.0,85.3,75.2,82.5,85.7,55.4,39.4,86.5,78.3
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.3,0.8,5.1,1.9,0.4,9.6,18.4,0.5,2.4
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,11982.0,29541.0,6286.0,5865.0,3223.0,406.0,386.0,3066.0,60110.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Immigration/cultural services,,,Support needs of clients; summary (closed support periods),Immigration/cultural services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,88.0,94.8,88.7,98.2,93.3,91.7,85.0,84.2,93.4
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Immigration/cultural services,,,Support needs of clients; summary (closed support periods),Immigration/cultural services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,12.0,5.2,11.3,1.8,6.7,8.3,15.0,15.8,6.6
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Immigration/cultural services,,,Support needs of clients; summary (closed support periods),Immigration/cultural services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,68.3,70.5,62.0,93.3,79.4,35.4,55.8,75.6,77.8
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Immigration/cultural services,,,Support needs of clients; summary (closed support periods),Immigration/cultural services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,6.6,7.8,10.2,2.0,4.6,22.9,16.7,3.7,5.5
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Immigration/cultural services,,,Support needs of clients; summary (closed support periods),Immigration/cultural services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,3106.0,3922.0,915.0,4834.0,1211.0,48.0,120.0,816.0,14776.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Other specialist services,,,Support needs of clients; summary (closed support periods),Other specialist services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,83.5,85.3,87.1,90.5,96.9,79.0,77.2,93.9,87.1
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Other specialist services,,,Support needs of clients; summary (closed support periods),Other specialist services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,16.5,14.7,12.9,9.5,3.1,21.0,22.8,6.1,12.9
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Other specialist services,,,Support needs of clients; summary (closed support periods),Other specialist services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,49.1,49.5,43.3,48.9,28.3,38.9,26.1,62.2,46.2
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Other specialist services,,,Support needs of clients; summary (closed support periods),Other specialist services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,13.9,14.7,14.5,15.4,55.3,18.4,21.4,5.7,19.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,Other specialist services,,,Support needs of clients; summary (closed support periods),Other specialist services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,10110.0,8286.0,4384.0,3678.0,3814.0,553.0,421.0,1447.0,32109.0
19A.12,2020-21,Addressing client needs,All ages,All people,All areas,,,,Support needs of clients; summary (closed support periods),Total clients who needed homelessness services,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,50605.0,80647.0,29924.0,19519.0,14577.0,4360.0,2345.0,7195.0,207463.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,47.3,56.4,64.8,92.5,83.9,74.2,53.3,88.1,62.2
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,52.7,43.6,35.2,7.5,16.1,25.8,46.7,11.9,37.8
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,21.8,30.9,39.3,67.2,23.7,24.2,17.8,74.5,34.6
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,16.4,12.1,13.3,14.6,46.0,29.5,17.2,4.1,15.9
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Accommodation/accommodation related assistance,,,Support needs of clients; summary (closed support periods),Accommodation/accommodation related assistance,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,31809.0,39443.0,21476.0,13550.0,6420.0,4093.0,1874.0,3942.0,120701.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,72.8,86.0,90.3,94.0,98.8,72.4,73.9,91.5,83.5
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,27.2,14.0,9.7,6.0,1.2,27.6,26.1,8.5,16.5
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,63.9,76.7,76.0,82.4,97.2,54.7,60.6,82.0,73.6
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,3.6,3.5,2.8,3.4,0.1,11.1,7.0,2.1,3.4
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Assistance to sustain housing tenure,,,Support needs of clients; summary (closed support periods),Assistance to sustain housing tenure,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,19650.0,28517.0,10686.0,3101.0,2745.0,935.0,746.0,1073.0,66552.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,54.0,61.3,71.6,73.4,79.0,60.1,49.7,74.3,62.2
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,46.0,38.7,28.4,26.6,21.0,39.9,50.3,25.7,37.8
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,21.5,33.7,32.0,26.2,2.9,45.0,12.6,37.2,27.3
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,19.8,17.2,23.1,27.5,75.5,7.8,24.5,24.3,22.3
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Mental health services,,,Support needs of clients; summary (closed support periods),Mental health services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,5543.0,4670.0,2244.0,1853.0,620.0,516.0,380.0,296.0,15673.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,75.8,80.8,81.8,81.3,92.7,81.5,76.7,82.8,80.4
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,24.2,19.2,18.2,18.7,7.3,18.5,23.3,17.2,19.6
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,34.4,46.1,44.7,38.6,33.6,39.2,31.7,40.1,40.1
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,22.1,18.6,18.9,19.9,36.9,17.0,17.8,16.4,20.9
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Family/relationship assistance,,,Support needs of clients; summary (closed support periods),Family services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,4215.0,4692.0,1755.0,2155.0,1083.0,395.0,382.0,506.0,14896.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,47.9,54.1,59.6,61.5,77.6,64.2,60.0,82.9,55.9
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,52.1,45.9,40.4,38.5,22.4,35.8,40.0,17.1,44.1
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,19.7,23.7,23.9,27.8,3.4,48.1,13.8,53.7,23.6
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,19.7,17.6,19.4,21.3,70.7,4.9,29.2,29.3,20.9
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Disability services,,,Support needs of clients; summary (closed support periods),Disability services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,608.0,527.0,314.0,169.0,58.0,81.0,65.0,41.0,1806.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,55.3,57.3,64.5,58.6,73.7,74.2,42.2,67.4,59.3
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,44.7,42.7,35.5,41.4,26.3,25.8,57.8,32.6,40.7
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,26.1,29.0,30.1,24.5,1.9,54.1,6.3,31.6,26.6
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,18.0,16.4,19.5,19.5,70.6,9.3,22.7,19.7,20.7
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Drug/alcohol counselling,,,Support needs of clients; summary (closed support periods),Drug/alcohol assistance,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,1957.0,1442.0,891.0,984.0,316.0,194.0,128.0,193.0,5915.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,66.1,70.8,76.8,76.4,81.6,79.7,64.5,74.2,72.8
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,33.9,29.2,23.2,23.6,18.4,20.3,35.5,25.8,27.2
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Provided only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.3,29.1,45.9,21.4,15.2,62.2,23.1,19.3,28.3
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Referred only,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,27.3,30.5,17.1,31.2,58.3,11.2,21.7,34.2,30.5
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Legal/financial services,,,Support needs of clients; summary (closed support periods),Legal/financial services,Total clients for whom need was identified,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,2979.0,3074.0,1840.0,1611.0,1354.0,241.0,290.0,488.0,11646.0
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Provided and/or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,85.3,92.9,93.4,94.0,98.7,77.4,76.1,97.8,91.9
19A.12,2019-20,Addressing client needs,All ages,All people,All areas,Domestic/family violence services,,,Support needs of clients; summary (closed support periods),Domestic/family violence services,Not provided or referred,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,14.7,7.1,6.6,6.0,1.3,22.6,23.9,2.2,8.1
