LGA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA51750,190,297,490,495,622,434,152,44,0,2734,176,41,68,116,124,210,441,485,309,1975,21,20,27,19,25,20,20,24,32,211,385,361,587,630,772,671,611,555,343,4920,21,188,650,626,792,530,159,18,0,2976,288,320,229,274,340,275,192,86,7,2010,23,17,56,28,24,28,15,5,0,200,4,8,11,4,11,0,7,5,4,49,333,531,942,932,1158,842,378,118,9,5238,0,10,24,19,42,16,8,0,0,119,47,18,16,12,13,18,8,0,0,134,49,31,35,29,57,31,14,0,0,254,379,563,982,959,1214,871,386,118,9,5485,444,108,107,151,180,320,708,829,460,3308,30,35,60,42,44,36,37,40,51,375,857,705,1155,1159,1434,1234,1133,991,522,9173
LGA51820,2051,3096,7371,7456,6401,4375,946,72,4,31763,1061,500,1373,1497,1240,2014,3717,2209,966,14587,82,126,318,269,210,176,168,192,134,1688,3196,3722,9058,9227,7852,6569,4825,2476,1108,48036,640,2804,9527,9749,8554,5372,935,46,0,37612,2549,2615,3629,4329,3393,2837,1100,128,9,20588,78,150,780,572,401,367,112,10,0,2468,50,99,232,182,142,98,30,4,0,843,3314,5663,14165,14825,12484,8669,2176,187,8,61511,113,238,346,293,288,203,28,0,0,1512,519,251,233,204,168,179,50,6,0,1601,633,486,583,497,458,385,70,8,0,3118,3952,6154,14740,15325,12942,9057,2252,191,8,64625,2352,929,1870,1985,1910,3094,6641,4153,1566,24509,185,258,650,590,421,331,323,343,218,3325,6498,7339,17264,17903,15271,12482,9213,4689,1796,92459
LGA51860,0,20,28,26,23,32,6,0,0,135,0,3,3,9,4,22,28,11,0,87,3,5,11,4,12,16,13,0,0,64,8,25,44,43,39,69,41,14,0,286,0,21,37,34,35,48,7,0,0,182,5,8,15,21,11,17,0,0,0,88,0,0,5,6,5,5,5,0,0,16,0,0,0,0,0,0,0,0,0,3,4,30,53,58,53,73,13,6,0,288,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,6,31,53,57,53,75,13,6,0,301,0,4,3,11,7,29,55,28,10,153,3,5,21,15,18,39,26,8,0,131,14,41,77,84,76,143,89,42,10,577
LGA51890,136,117,296,349,419,311,62,7,0,1711,71,50,145,99,139,275,426,229,66,1510,26,17,30,40,28,32,29,34,36,268,236,186,469,486,590,617,518,279,101,3487,68,169,345,434,499,379,58,14,0,1967,139,78,196,225,215,224,79,14,0,1165,12,17,31,32,43,43,4,5,0,189,6,8,22,12,15,8,7,0,5,86,226,273,590,699,774,656,145,26,5,3402,21,19,58,30,31,27,11,0,0,192,19,12,6,17,24,14,3,0,0,87,38,32,62,46,51,47,9,0,0,286,259,305,653,747,825,698,160,26,5,3681,192,74,185,154,219,493,899,451,113,2778,52,25,71,91,73,65,66,68,59,568,503,406,902,993,1117,1257,1124,548,179,7032
LGA51960,38,57,116,138,168,107,27,0,0,660,38,27,59,54,37,73,86,23,7,399,31,37,73,74,63,43,27,12,0,355,110,119,242,261,274,223,141,35,7,1412,30,95,307,271,326,237,48,0,0,1311,37,12,43,62,77,65,26,3,0,331,0,8,29,17,26,17,3,0,0,105,4,5,10,9,12,14,0,0,0,54,70,119,391,359,437,331,78,9,0,1802,8,9,9,10,12,14,0,0,0,62,6,0,4,4,5,3,0,0,0,21,10,13,16,12,13,16,0,0,0,85,81,135,409,372,456,353,82,9,0,1887,78,37,82,70,71,130,194,58,13,730,48,82,277,249,254,166,68,21,3,1176,204,260,765,684,780,645,339,88,14,3792
LGA52030,5,4,33,35,40,46,30,4,0,196,8,0,11,5,0,39,66,34,7,172,6,6,0,5,7,11,7,7,6,58,11,14,45,46,51,96,99,44,11,422,0,15,39,40,48,77,32,9,0,254,0,8,17,21,22,34,17,3,0,122,0,0,3,3,6,9,0,0,0,20,0,0,0,5,5,4,0,0,0,14,5,19,61,68,81,118,51,15,0,414,4,0,5,9,4,4,4,0,0,18,0,0,0,0,0,0,3,0,0,9,4,0,5,6,4,6,5,0,0,21,0,19,61,68,82,126,54,15,0,435,14,4,15,8,6,71,137,77,17,354,0,9,11,13,17,28,22,13,6,129,22,32,87,92,109,224,214,103,23,918
LGA52100,8,13,48,55,39,49,26,3,0,238,0,3,7,4,9,14,34,33,14,125,0,0,4,0,0,4,4,3,5,31,8,16,58,57,55,69,67,39,21,387,11,29,68,59,66,69,35,3,0,354,3,8,22,37,21,23,18,5,0,142,0,0,0,3,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,7,20,37,89,101,91,100,57,7,3,512,0,0,0,5,5,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,3,0,0,0,12,20,39,91,106,93,105,60,7,3,527,6,5,4,9,6,23,80,55,30,221,4,0,4,7,6,3,13,3,3,47,26,50,109,116,113,134,152,68,38,794
LGA52170,133,200,390,319,457,338,120,24,0,1991,130,18,41,93,111,173,326,221,96,1207,4,4,11,18,14,17,11,16,31,119,272,226,439,425,582,522,460,262,124,3314,13,120,527,428,586,422,115,12,0,2225,217,224,147,180,271,286,195,50,0,1571,10,14,31,34,18,24,14,3,0,148,6,9,11,3,16,4,4,6,3,53,233,369,720,646,893,736,326,70,3,4000,0,0,14,8,13,16,3,0,0,55,28,16,14,7,12,5,0,0,0,95,34,22,24,16,24,21,7,0,0,150,268,394,742,668,919,760,332,70,3,4156,273,45,62,108,143,245,534,438,161,2020,12,11,19,36,15,28,20,35,44,218,552,452,827,811,1082,1037,890,541,205,6396
LGA52240,5,13,25,57,47,41,24,0,0,219,9,8,10,10,18,27,23,28,0,128,0,0,3,8,6,9,8,3,0,45,19,22,41,74,66,78,62,37,4,396,4,17,42,57,71,73,37,5,4,309,7,7,9,36,26,34,23,0,0,147,0,5,5,4,4,3,0,0,0,22,0,0,5,5,3,4,4,0,0,14,11,30,63,99,110,106,62,8,5,494,0,0,0,4,0,4,0,0,0,7,0,0,0,0,3,0,0,0,0,8,0,0,4,4,3,3,0,0,0,16,11,30,66,100,116,111,62,13,5,508,19,6,15,14,30,44,53,57,6,240,10,3,10,13,17,14,16,4,4,92,35,41,87,133,156,173,135,78,12,849
LGA52310,9,15,24,24,52,47,19,5,0,193,7,3,9,7,12,30,36,14,3,116,3,0,7,3,9,4,4,3,0,31,10,21,40,34,70,81,54,26,8,346,5,25,28,38,62,54,27,3,0,236,5,8,15,8,36,40,14,3,0,133,0,0,6,0,0,0,0,0,0,12,0,0,3,3,3,0,6,6,0,10,12,30,52,45,95,103,44,16,0,395,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,7,0,0,0,16,12,33,54,49,100,101,44,16,0,414,9,3,18,17,20,44,93,33,10,248,4,4,9,6,6,10,4,15,3,63,21,41,79,72,128,161,138,60,12,721
LGA52380,0,9,12,7,18,14,4,0,0,74,0,0,0,3,4,15,27,6,0,63,0,0,5,3,0,3,4,0,0,14,4,13,20,15,23,36,37,9,0,155,4,26,70,51,61,45,12,5,0,265,5,0,10,3,8,7,4,0,0,40,0,0,11,7,12,13,0,4,0,41,0,0,4,0,3,3,0,0,0,14,6,30,90,62,85,72,15,5,0,361,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,6,0,0,0,4,6,29,91,62,85,66,13,5,0,369,0,0,3,3,7,33,67,21,0,135,0,5,11,7,11,7,12,0,0,49,8,34,102,74,102,110,89,29,0,554
LGA52450,25,20,40,61,53,42,17,4,0,262,32,9,17,13,16,30,43,19,10,189,13,0,3,11,3,0,6,0,0,35,71,27,65,80,68,69,69,22,10,492,20,31,81,74,71,54,22,3,0,354,36,8,21,41,32,30,16,6,0,190,6,0,6,0,5,3,7,0,0,36,0,0,3,0,0,4,0,0,0,14,64,42,110,114,109,94,41,10,0,589,6,5,9,0,0,0,0,0,0,20,7,0,3,0,0,0,0,0,0,13,12,5,7,0,0,3,0,0,0,30,76,46,123,119,110,100,43,10,0,616,110,9,21,14,17,51,76,50,23,375,14,3,4,11,7,4,11,0,0,69,200,55,149,147,138,153,136,62,24,1058
LGA52520,7,23,58,69,50,55,21,5,0,277,8,7,14,17,6,19,29,24,16,142,3,3,11,17,16,11,10,9,4,80,18,33,79,97,66,86,51,43,22,498,10,43,96,103,78,105,38,8,0,478,12,7,25,38,27,31,19,3,5,176,0,0,4,4,0,5,0,0,0,13,0,0,3,3,0,0,0,0,0,11,19,51,126,153,110,146,59,17,5,676,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,19,51,131,154,108,144,59,17,5,686,12,8,14,18,13,35,52,40,28,231,6,6,24,36,27,38,25,16,3,180,41,68,169,206,151,219,131,74,32,1098
LGA52590,34,41,153,144,157,194,63,10,0,797,15,8,22,29,16,95,200,92,31,525,4,9,27,19,24,20,27,14,8,159,55,58,206,192,203,308,297,123,41,1481,28,61,202,174,232,243,62,10,3,1012,30,23,74,91,87,127,76,26,0,538,0,9,24,21,23,28,18,0,0,120,0,9,16,6,4,5,0,0,0,43,65,92,313,295,344,403,159,38,3,1707,4,0,4,7,17,14,4,0,0,49,3,0,4,4,4,3,0,0,0,19,3,4,4,17,25,17,7,0,0,76,67,101,317,306,365,422,166,38,3,1776,29,16,32,40,36,160,419,192,55,981,14,26,71,63,69,63,59,27,9,407,110,141,421,412,474,645,641,263,70,3163
LGA52660,275,271,669,784,747,523,110,18,0,3397,122,43,203,154,162,304,536,414,144,2083,9,11,32,29,39,33,36,51,59,294,406,322,906,970,935,861,676,488,206,5772,116,330,891,933,911,681,113,14,0,3990,316,165,376,537,440,345,148,23,0,2354,19,24,85,64,66,71,10,5,0,340,5,13,23,22,22,10,0,6,0,109,453,536,1380,1545,1439,1112,273,48,5,6793,19,25,42,24,16,21,4,0,0,152,54,14,17,21,21,26,4,0,0,165,73,42,58,48,42,50,8,0,0,317,530,576,1437,1593,1475,1157,283,48,5,7107,275,69,247,192,214,442,1007,723,252,3428,18,24,65,57,78,55,83,90,94,570,820,675,1747,1842,1770,1662,1372,856,358,11102
LGA52730,78,37,172,305,339,311,100,14,0,1361,98,10,43,60,54,183,362,214,75,1104,18,9,30,41,47,35,45,24,11,274,194,64,251,402,445,532,510,254,89,2736,25,52,155,284,319,276,77,15,0,1204,116,20,116,231,251,289,132,34,4,1201,13,3,28,23,35,38,4,4,0,148,5,0,7,10,7,10,10,3,0,56,163,78,310,540,605,617,235,55,5,2611,4,7,11,6,12,17,0,0,0,56,15,0,3,13,9,12,6,0,0,47,17,7,15,17,16,23,5,0,0,99,181,87,321,559,626,642,241,55,5,2707,188,13,52,96,104,302,677,432,133,1992,40,20,60,74,89,80,88,55,22,528,405,118,435,727,823,1025,1002,538,160,5230
LGA52800,39,124,370,270,272,289,89,4,0,1465,159,147,244,211,183,242,268,64,16,1546,41,56,135,101,95,97,66,20,0,623,246,330,747,589,552,627,426,97,21,3633,29,147,516,342,359,348,93,5,0,1836,35,45,117,102,85,78,56,12,0,537,0,20,54,81,102,156,55,0,0,465,0,9,22,8,8,4,4,0,0,70,74,216,705,534,553,588,210,18,0,2899,4,17,26,13,15,7,0,0,0,78,10,4,15,9,11,11,4,0,0,64,10,19,42,23,25,11,6,0,0,141,81,241,748,564,577,600,213,18,0,3047,320,296,529,435,379,451,570,142,32,3152,77,122,264,209,203,214,153,34,0,1282,483,663,1546,1205,1161,1265,936,198,34,7482
LGA52870,74,69,167,267,320,319,87,18,0,1322,57,21,76,70,79,178,327,196,70,1065,6,0,14,11,22,18,27,10,6,120,137,89,267,346,416,504,443,227,77,2512,51,94,206,314,384,348,96,19,3,1516,102,45,107,158,187,204,116,23,0,944,3,8,20,36,45,49,15,7,0,174,8,3,9,11,12,12,3,4,0,67,166,150,346,517,632,614,227,48,5,2696,0,14,11,7,13,18,0,0,0,60,7,16,6,9,5,10,6,0,0,55,11,24,16,10,15,30,9,0,0,121,170,171,357,532,648,646,240,48,5,2816,126,33,96,88,107,269,619,366,108,1814,24,10,32,32,38,38,50,38,13,274,320,218,483,649,801,949,903,454,120,4908
LGA52940,6,7,16,35,32,29,18,6,4,142,0,0,10,7,8,6,40,18,0,92,3,3,0,0,3,5,3,0,4,24,7,12,31,45,38,42,60,17,10,259,3,19,24,44,52,41,21,4,0,203,3,6,7,24,21,16,17,5,4,105,0,0,4,0,4,3,0,0,0,10,0,3,0,0,3,0,5,0,0,6,5,26,37,70,71,62,40,5,0,325,0,0,0,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,4,3,3,0,0,0,10,7,28,36,77,76,62,40,5,0,335,6,9,8,6,8,16,74,29,6,160,3,7,3,6,7,5,6,3,3,47,17,40,51,83,96,86,119,38,10,542
LGA53010,0,4,24,30,30,34,8,0,0,140,0,0,4,5,5,9,22,13,0,64,0,0,0,5,9,7,9,4,0,41,5,12,35,41,40,50,37,12,4,240,3,9,43,32,45,54,15,0,0,201,5,3,9,27,22,17,6,3,0,95,0,0,5,4,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,17,53,61,61,74,27,3,0,311,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,17,55,69,70,74,32,6,0,327,0,0,9,8,8,10,38,25,6,107,5,3,15,20,27,20,14,7,0,120,13,19,77,96,103,112,83,38,4,547
LGA53080,4,14,43,29,33,46,8,0,0,182,0,11,7,6,20,27,44,15,0,125,0,8,15,12,10,15,11,5,0,81,7,24,66,52,67,83,67,21,0,382,8,30,75,61,87,55,22,0,0,332,0,3,15,4,14,21,7,0,0,71,0,3,0,3,3,13,5,0,0,39,0,3,3,0,6,4,0,0,0,11,10,39,97,67,111,92,31,7,0,458,0,0,6,4,9,0,4,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,6,4,9,0,4,0,0,21,10,39,98,72,122,90,34,7,0,474,5,10,12,10,34,55,99,33,4,268,7,14,40,26,62,34,28,6,0,219,19,65,159,105,213,188,161,46,10,964
LGA53150,168,163,318,413,507,417,106,13,0,2098,106,14,36,67,95,127,295,228,128,1091,7,0,14,25,10,18,13,18,26,111,282,179,364,502,615,555,406,254,151,3304,29,111,377,462,657,492,90,11,0,2223,213,198,164,243,280,278,139,23,0,1533,3,4,35,27,21,28,9,0,0,132,3,0,10,6,12,4,5,0,0,45,247,309,585,735,971,797,241,36,0,3932,4,11,13,12,19,16,3,0,0,80,46,12,12,4,7,15,9,0,0,97,44,21,27,21,24,35,10,0,0,181,291,333,610,756,993,835,253,39,0,4106,230,31,70,97,137,193,535,405,217,1913,8,9,29,44,24,24,19,28,42,219,534,367,710,893,1156,1046,813,463,259,6243
LGA53220,80,305,913,603,545,343,53,7,0,2851,82,47,125,108,69,144,193,41,4,812,23,119,360,203,221,139,21,8,0,1099,180,470,1403,922,836,625,263,49,5,4766,91,577,2508,2350,2078,1349,183,16,0,9147,70,77,299,258,195,120,40,0,0,1064,0,42,188,184,204,154,40,0,0,803,4,20,55,52,23,26,0,0,0,178,168,715,3049,2840,2502,1647,254,15,0,11195,15,15,28,41,22,19,0,0,0,130,17,9,19,17,13,10,4,0,0,90,29,27,40,58,36,25,4,0,0,218,197,737,3098,2898,2534,1671,263,18,0,11407,159,85,214,192,130,252,392,94,7,1517,68,338,1644,1604,1399,889,150,19,0,6128,424,1159,4953,4692,4062,2818,805,125,9,19053
LGA53290,203,248,551,625,713,564,151,30,0,3079,161,39,175,132,119,266,499,378,155,1927,35,35,63,98,77,74,81,56,16,533,394,324,794,853,908,904,729,461,173,5542,166,353,749,812,1009,775,164,30,3,4059,213,118,323,385,368,366,161,30,0,1962,19,17,70,50,49,69,17,8,0,298,19,16,28,34,25,24,4,4,0,148,411,500,1164,1275,1448,1233,347,65,3,6470,15,13,13,16,21,11,0,0,0,91,22,7,11,16,13,16,13,0,0,96,36,24,21,32,30,33,11,0,0,184,453,523,1188,1309,1483,1260,356,68,3,6654,333,66,217,174,181,436,939,705,249,3306,73,82,165,175,200,171,157,120,31,1175,861,670,1568,1660,1867,1872,1461,895,284,11133
LGA53360,60,129,380,315,289,270,75,10,0,1515,19,23,79,45,41,211,487,148,19,1087,12,11,29,24,23,25,39,8,0,163,93,158,490,384,354,506,601,171,16,2768,42,112,396,339,320,220,42,7,0,1472,70,68,172,160,127,134,40,9,0,780,18,33,128,129,139,202,73,5,3,731,6,14,16,15,10,8,3,4,0,74,129,223,714,641,600,565,158,21,5,3053,5,0,10,3,6,7,0,0,0,33,5,6,7,6,7,4,4,0,0,43,7,3,12,10,14,13,4,0,0,73,133,227,727,651,608,576,169,21,5,3127,37,35,121,74,68,387,1034,373,35,2159,14,22,57,45,46,58,65,25,4,336,189,285,898,768,731,1025,1265,416,44,5615
LGA53430,419,769,1875,1763,1752,1483,446,36,6,8549,260,127,263,326,324,633,1307,898,437,4576,31,73,151,119,128,93,95,78,85,851,719,970,2296,2210,2199,2209,1837,1013,522,13976,94,459,2279,2185,2142,1626,360,30,0,9168,536,793,980,1130,988,1087,527,78,7,6122,25,56,191,204,91,126,38,0,0,742,11,20,45,43,36,25,5,0,0,193,664,1324,3500,3554,3266,2864,932,118,8,16224,9,38,87,71,95,99,17,0,0,415,121,71,67,44,55,47,26,0,0,434,135,109,152,121,147,144,43,0,0,849,800,1434,3653,3671,3412,3004,974,118,8,17074,554,237,416,485,557,1095,2359,1618,726,8048,67,142,325,283,318,248,187,157,130,1855,1425,1814,4389,4443,4284,4344,3522,1892,876,26979
LGA53570,49,65,236,215,262,234,67,9,0,1151,65,16,54,58,64,156,310,157,35,914,6,11,19,15,28,24,39,21,4,166,120,95,314,286,353,406,415,190,42,2226,33,86,271,253,334,267,85,14,5,1340,54,51,141,126,149,184,78,26,0,806,9,12,26,31,40,38,10,4,0,166,4,9,20,16,11,8,4,0,0,70,98,153,450,421,528,503,175,45,5,2387,6,4,6,8,24,14,8,0,0,65,3,0,4,7,5,3,0,0,0,24,5,13,11,15,29,13,12,0,0,88,106,168,461,433,555,520,184,45,5,2474,136,21,75,76,97,260,641,361,74,1751,5,23,45,26,48,57,79,47,10,336,249,208,581,540,707,837,905,451,84,4565
LGA53640,4,18,68,52,52,45,22,7,0,261,12,10,21,15,15,22,29,12,7,139,3,3,6,11,4,8,8,0,0,35,15,29,99,78,68,69,62,12,7,437,6,32,90,73,84,75,46,0,0,407,6,7,38,33,29,31,20,5,0,169,0,0,9,0,0,8,0,0,0,21,0,0,3,4,3,0,0,0,0,17,17,40,137,112,115,107,70,8,0,609,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,3,6,0,0,12,0,0,10,5,0,0,6,0,0,20,14,40,143,116,122,112,75,8,0,630,20,9,30,22,26,44,59,20,10,239,6,4,8,16,9,16,9,3,0,83,41,59,182,157,148,178,140,34,8,954
LGA53710,6,18,17,45,47,50,15,3,0,210,11,0,11,8,4,19,47,21,11,135,0,0,3,4,11,9,6,7,0,42,14,18,34,63,60,85,75,29,12,385,5,20,36,53,50,68,17,3,0,255,7,11,10,33,31,28,24,10,0,147,0,0,7,0,4,6,0,0,0,22,0,0,0,0,0,0,0,6,4,9,16,27,49,87,87,99,46,9,4,428,5,0,5,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,10,4,0,5,3,4,5,0,0,0,20,19,33,50,90,90,104,49,9,4,444,15,3,11,12,12,42,94,39,17,238,10,5,3,9,17,16,15,9,0,88,37,39,67,112,121,158,157,67,24,776
LGA53780,1954,2956,5959,6822,5826,3872,861,68,4,28323,1644,828,2375,2460,1719,2423,4065,2461,973,18947,169,188,438,380,293,192,193,192,176,2216,3761,3974,8769,9663,7841,6479,5121,2719,1151,49484,623,2657,7595,9557,8089,5043,947,35,4,34547,2417,2774,3585,4067,3195,2511,1025,118,0,19685,94,137,490,455,305,332,109,8,0,1929,48,155,343,261,195,132,34,7,4,1178,3181,5726,12009,14342,11785,8022,2107,166,10,57349,180,352,537,482,406,279,43,3,0,2289,599,322,308,292,218,182,42,0,0,1973,775,670,849,779,620,465,91,6,0,4259,3963,6398,12855,15120,12407,8485,2200,173,10,61606,3498,1540,3522,3481,2689,3707,7376,4571,1580,31963,407,380,886,816,632,401,389,325,279,4508,7864,8316,17259,19420,15724,12590,9967,5071,1864,98071
LGA53800,765,762,1631,1844,2120,1625,414,41,9,9205,346,201,545,418,418,783,1556,983,401,5647,99,103,222,250,185,168,170,115,89,1398,1214,1060,2394,2512,2723,2581,2137,1137,487,16245,364,829,2043,2222,2533,1944,400,27,5,10369,897,498,917,1053,1117,1036,448,66,3,6053,34,66,202,144,165,203,70,7,0,895,20,20,70,43,64,41,10,11,7,288,1318,1410,3228,3471,3884,3224,932,119,14,17603,60,86,104,97,113,86,10,0,0,556,118,36,62,72,59,76,19,0,0,450,179,121,165,167,172,160,33,0,0,1006,1503,1537,3394,3637,4060,3386,965,120,8,18601,773,337,777,671,725,1344,2879,1832,693,10037,224,188,430,507,392,357,326,231,143,2800,2499,2062,4604,4810,5174,5090,4166,2193,842,31434
LGA53920,35,74,168,142,131,135,37,0,6,726,109,92,167,130,101,119,163,41,4,938,12,22,46,42,34,43,46,15,0,255,157,184,383,314,268,296,248,57,11,1919,19,59,198,155,174,150,42,0,0,804,4,30,53,56,50,30,16,0,0,258,0,8,36,43,31,70,17,0,0,199,0,5,16,9,11,12,4,0,0,55,30,98,307,268,261,263,82,6,0,1311,22,30,47,46,19,11,0,0,0,181,18,21,17,15,10,4,0,0,0,81,43,50,66,59,32,15,0,0,6,266,69,148,373,327,293,278,85,6,6,1574,228,151,276,226,191,213,335,84,11,1716,27,42,98,104,96,98,83,37,9,584,323,342,752,653,578,585,500,125,17,3883
LGA53990,581,448,1173,1520,1490,1067,235,22,0,6546,314,108,401,330,286,711,1156,657,195,4162,31,30,66,52,51,65,55,44,24,415,928,583,1637,1895,1830,1845,1448,723,225,11113,283,582,1538,1849,1963,1351,231,16,4,7817,608,272,653,935,785,707,308,47,6,4333,43,39,157,106,125,144,32,3,0,649,20,24,46,53,38,22,14,0,0,215,960,922,2400,2942,2909,2229,584,67,11,13015,50,47,59,56,63,51,5,0,0,335,102,23,38,43,26,40,8,0,0,289,149,74,100,98,87,90,20,0,0,620,1107,999,2499,3042,2992,2317,606,68,11,13636,739,166,486,457,428,1059,2118,1254,350,7056,79,58,128,120,131,155,115,73,39,893,1925,1224,3113,3619,3555,3529,2840,1391,394,21586
