LGA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA52240,4,0,6,3,3,14,20,13,0,71,5,4,4,11,14,6,7,0,0,54,0,5,9,15,19,16,10,4,0,67,0,6,12,7,20,15,7,0,0,69,0,8,9,20,17,20,9,0,0,83,0,0,3,4,13,16,4,3,0,49,0,6,11,9,9,10,3,3,6,52,0,0,3,11,4,10,4,0,0,37,0,0,8,8,8,6,9,0,0,34,0,5,0,3,0,3,6,0,0,15,0,0,0,6,4,5,4,0,0,21,10,3,10,15,13,23,24,12,3,114,0,0,0,0,0,0,0,0,0,0,35,41,87,133,156,173,135,78,12,849
LGA52310,0,0,5,6,11,18,26,14,0,80,0,8,10,6,16,9,12,0,0,67,3,6,8,6,18,4,11,3,5,56,0,4,9,8,6,15,11,6,0,55,0,7,7,4,12,24,6,4,0,67,0,9,9,0,7,11,0,6,0,35,0,0,10,5,13,9,5,0,0,34,0,0,3,7,13,6,0,0,0,28,0,0,4,8,5,9,3,0,0,34,0,0,0,3,6,0,0,0,0,9,0,0,0,0,10,8,3,0,0,14,7,4,6,9,9,12,4,9,0,67,0,0,3,0,0,0,0,0,0,3,21,41,78,72,128,161,138,60,12,726
LGA52380,0,0,0,0,0,3,22,7,0,31,0,0,0,0,0,4,3,0,0,22,0,0,0,3,0,7,4,0,0,16,4,3,0,0,12,7,8,0,0,27,0,8,5,3,3,7,0,0,0,28,0,3,3,0,3,4,0,4,0,27,0,0,11,8,5,3,0,5,0,34,0,5,16,0,7,3,3,4,0,40,0,11,30,17,24,21,4,0,0,118,0,4,11,11,15,7,0,0,0,49,0,0,10,14,14,9,0,0,0,45,0,5,10,5,10,10,11,0,0,52,0,0,0,0,0,0,0,0,0,3,8,34,103,74,96,110,89,29,0,551
LGA52450,0,0,7,3,4,7,26,15,9,80,3,3,19,10,12,16,21,7,3,86,3,3,4,17,4,7,8,5,5,58,3,4,12,19,15,9,18,5,0,85,4,9,18,11,16,10,3,5,0,83,0,10,14,14,10,10,6,0,0,66,0,5,20,7,12,8,6,0,0,53,0,0,11,12,11,16,0,0,0,44,0,3,12,17,10,15,4,0,0,61,0,0,0,0,3,6,0,0,0,15,0,0,4,0,8,0,0,0,0,13,25,4,5,11,17,5,13,7,3,96,0,0,0,0,0,0,0,0,0,0,200,55,149,147,138,153,136,62,24,1058
LGA52520,0,0,8,7,5,4,11,4,3,43,11,0,8,8,8,4,9,9,0,60,0,12,5,10,11,20,10,3,0,76,0,11,8,11,15,19,8,0,3,77,0,10,15,26,13,17,15,4,0,97,0,8,17,20,17,15,4,0,0,95,4,5,13,16,12,20,13,6,0,80,0,0,10,19,9,18,3,0,0,59,0,5,18,16,12,16,0,0,0,79,0,0,7,4,0,6,0,0,3,20,0,0,3,4,13,7,11,0,0,39,4,12,25,39,30,38,22,16,5,189,0,0,0,0,0,0,0,0,0,0,41,68,169,206,151,219,131,74,32,1098
LGA52590,5,5,17,22,14,36,75,46,24,237,3,11,17,27,28,48,64,28,8,239,12,13,27,25,33,46,55,15,3,222,10,23,47,36,37,44,56,14,3,270,3,10,62,30,48,47,37,7,6,243,0,9,32,33,26,35,19,10,0,156,3,5,38,22,40,32,18,5,0,169,0,5,16,27,23,27,13,4,0,106,0,8,48,53,63,60,11,8,0,248,0,0,0,22,22,20,3,0,0,61,0,0,6,18,7,16,3,5,0,50,18,27,79,64,76,70,64,30,8,438,0,0,14,10,0,0,0,0,0,32,110,138,433,425,476,645,641,263,70,3197
LGA52660,48,31,83,83,86,90,205,179,92,887,55,55,105,109,87,107,197,100,24,854,38,85,135,116,142,107,101,96,30,843,28,125,152,161,171,121,81,40,11,886,11,87,219,187,189,143,62,15,3,917,0,56,173,167,144,134,28,15,0,726,3,23,165,167,143,112,22,10,3,651,0,16,102,129,124,125,16,4,0,519,0,25,215,274,238,180,35,3,0,977,0,4,32,56,56,45,15,0,0,201,0,0,29,46,59,35,17,4,6,200,23,42,74,74,96,63,94,81,99,652,0,0,4,0,0,3,11,0,0,17,820,675,1755,1842,1768,1662,1379,855,358,11120
LGA52730,16,0,13,40,44,81,171,80,36,489,13,19,38,53,58,90,113,68,20,465,7,22,45,54,65,93,59,40,12,395,7,18,32,57,67,78,65,37,8,377,5,12,56,77,83,91,57,17,3,398,0,9,29,51,72,54,39,9,3,262,0,5,26,61,46,64,19,21,10,246,0,0,13,44,38,42,16,12,0,164,0,3,33,66,74,66,23,5,0,277,0,0,10,16,16,20,10,3,0,71,0,0,6,23,29,22,14,13,0,102,38,17,58,65,82,81,95,55,21,514,0,0,0,0,0,0,7,0,0,4,405,118,434,727,824,1025,1006,538,160,5235
LGA52800,6,22,66,39,60,89,128,46,21,480,14,25,62,53,34,43,81,10,5,324,8,27,52,45,36,59,62,5,0,299,13,42,77,38,44,64,70,10,0,361,4,37,106,59,56,91,54,5,0,409,0,40,102,48,63,84,34,5,0,377,0,13,94,65,68,78,37,4,0,353,0,16,59,48,55,62,27,0,0,274,0,14,115,108,110,119,34,0,0,500,0,4,22,31,36,21,3,0,0,115,0,4,29,37,46,41,14,4,0,166,124,163,368,270,251,232,166,38,4,1622,0,13,12,4,0,0,9,0,0,35,483,668,1557,1207,1161,1263,942,198,34,7515
LGA52870,23,15,24,35,36,59,146,102,48,489,20,19,36,40,66,70,86,52,15,399,22,31,45,49,50,77,76,34,0,386,7,26,50,68,68,66,51,22,0,359,4,24,38,74,69,96,56,16,0,373,0,13,35,41,58,68,26,7,0,259,0,11,28,51,69,39,11,7,0,225,0,9,23,37,66,46,19,0,0,198,0,5,53,75,105,88,27,6,0,353,0,0,4,16,21,14,4,4,0,67,0,0,0,23,20,27,12,4,0,92,33,17,30,30,48,43,63,44,12,326,0,4,6,8,0,3,0,0,0,31,320,222,497,662,801,952,908,454,120,4930
LGA52940,0,3,0,5,3,6,24,8,5,48,0,10,5,4,8,16,9,5,0,57,0,0,4,6,3,0,9,3,0,38,0,11,8,12,10,13,3,3,0,56,0,0,8,4,15,16,12,0,0,54,0,0,3,6,3,0,3,0,0,19,0,0,3,3,8,7,0,0,0,32,0,0,3,9,6,0,3,0,0,24,0,0,6,12,9,7,8,0,0,42,0,0,0,3,6,0,0,0,0,7,0,0,0,7,7,3,0,0,0,17,4,7,3,5,7,6,13,3,0,56,0,0,0,0,0,0,0,0,0,0,17,40,51,83,96,86,119,38,10,542
LGA53010,0,0,3,5,4,6,9,12,0,37,0,0,7,7,6,3,10,5,0,39,0,0,5,4,6,3,3,3,0,37,0,4,9,8,8,7,0,3,0,40,0,6,13,8,8,13,3,5,0,53,0,4,8,4,8,14,4,0,0,38,0,0,3,4,5,8,0,0,0,22,0,0,6,9,4,0,0,0,0,17,0,0,3,5,9,9,0,0,0,32,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,13,5,3,13,19,32,30,24,5,0,131,0,0,5,0,0,0,0,0,0,5,13,19,80,96,103,112,83,38,4,548
LGA53080,3,3,3,0,3,15,26,18,5,77,0,0,4,0,6,12,14,4,0,44,0,4,6,3,4,14,14,6,0,54,0,4,8,11,10,9,6,0,0,56,0,4,6,13,7,15,9,0,0,60,0,4,4,3,5,7,5,0,0,25,0,0,10,11,13,6,6,0,0,45,0,12,7,3,15,14,7,0,0,57,0,6,24,20,36,17,4,0,0,108,0,0,10,9,7,4,0,0,0,33,0,0,8,3,13,7,0,0,0,28,6,14,42,28,54,39,33,10,0,228,0,0,0,0,0,0,0,0,0,7,19,63,157,104,219,187,161,46,10,971
LGA53150,15,41,13,28,37,31,79,64,42,349,17,36,33,35,37,48,90,40,16,367,10,42,50,38,53,60,74,44,14,379,5,36,47,45,49,57,76,36,0,363,3,29,78,66,68,91,67,20,0,416,0,19,88,60,79,64,54,18,0,380,0,16,74,66,74,82,40,13,3,378,0,6,50,56,80,71,23,4,0,300,0,4,91,147,201,162,38,4,0,658,0,0,28,62,77,55,22,9,0,242,0,0,34,170,234,149,41,17,0,642,7,8,33,47,39,33,40,62,103,377,0,4,14,6,3,9,0,0,0,34,534,366,726,901,1157,1053,817,468,259,6275
LGA53220,8,16,35,18,19,21,57,15,0,185,14,17,45,29,19,32,45,15,0,235,7,25,49,36,20,32,43,5,0,219,15,49,86,46,49,47,31,4,0,323,18,81,150,92,111,101,48,9,0,619,16,114,238,147,148,121,31,6,0,819,10,90,300,213,179,151,29,0,0,973,12,74,315,273,237,186,23,0,0,1113,4,191,1061,973,875,515,83,6,0,3710,0,30,423,451,403,248,22,0,0,1578,0,18,358,571,440,262,23,0,0,1675,78,350,1654,1620,1413,915,166,17,0,6223,0,16,38,24,26,14,4,0,0,126,428,1180,4990,4716,4084,2834,807,132,9,19176
LGA53290,27,37,73,70,85,123,195,194,75,889,64,58,73,91,93,122,148,102,33,771,47,93,112,103,126,103,85,65,15,765,18,97,164,138,138,141,79,41,8,832,9,70,179,170,191,190,98,26,6,939,6,67,140,146,151,120,42,11,8,688,4,35,130,138,155,138,31,12,0,643,4,11,95,104,124,99,35,14,0,489,4,22,134,220,238,167,35,24,3,839,0,6,26,38,52,37,11,5,6,177,3,9,23,46,82,67,19,11,0,268,109,94,176,185,230,214,178,138,52,1372,0,5,15,0,0,4,0,0,0,28,856,676,1579,1662,1871,1876,1459,894,284,11158
LGA53360,12,17,29,25,27,52,168,66,9,398,14,30,40,38,37,56,169,56,3,443,21,45,94,28,45,77,143,65,0,512,11,48,110,71,68,90,79,16,5,497,3,36,132,88,70,107,97,18,0,557,0,22,79,69,74,71,58,17,3,398,0,15,78,70,70,55,31,5,0,327,0,4,69,56,56,53,20,6,0,253,0,13,87,101,100,113,24,8,0,455,0,4,20,24,27,18,3,8,0,109,0,0,21,56,51,60,18,5,0,209,17,24,61,57,56,68,82,42,6,412,0,12,16,0,0,4,5,0,0,44,189,296,915,773,731,1029,1271,416,44,5661
LGA53430,50,174,173,115,170,244,499,400,228,2038,55,216,259,172,204,225,368,187,68,1743,34,183,255,212,165,217,278,130,27,1504,26,145,357,269,229,267,258,114,28,1691,7,124,493,352,306,393,226,97,23,2010,0,112,449,312,308,310,130,54,15,1696,5,53,474,391,343,283,129,35,10,1717,0,18,340,327,284,239,117,31,5,1379,6,36,556,806,695,539,178,39,12,2857,0,8,113,223,225,179,54,18,4,812,3,8,113,419,466,376,122,44,5,1557,79,161,342,288,308,267,247,216,240,2146,5,25,68,20,22,24,14,5,3,177,1428,1835,4457,4457,4309,4367,3539,1893,877,27154
LGA53570,7,18,27,30,33,68,124,79,14,407,13,21,62,43,46,59,89,36,0,372,14,33,77,39,50,54,65,29,3,364,15,30,97,40,60,63,41,22,3,368,0,23,74,54,62,64,30,19,0,323,0,10,43,49,53,71,25,9,0,266,3,0,23,46,63,56,19,10,0,219,0,3,14,30,45,39,18,3,0,146,0,8,26,51,57,56,22,3,0,227,0,0,8,15,13,9,10,3,0,66,0,0,0,12,32,12,16,0,3,81,18,27,56,39,65,73,98,53,13,435,0,3,32,21,3,0,7,0,0,69,249,213,610,557,715,837,908,451,84,4628
LGA53640,3,4,9,10,9,15,14,3,0,71,0,6,6,7,12,10,17,0,0,65,0,6,6,8,4,9,5,0,0,39,0,6,20,13,10,15,3,0,0,62,0,9,21,29,23,12,13,0,0,105,0,9,19,10,10,22,11,0,0,83,0,4,19,14,14,12,14,0,0,70,0,0,5,4,16,7,4,0,0,40,0,3,11,15,19,5,7,0,0,64,0,0,5,3,6,3,0,0,0,20,0,0,5,4,10,4,4,3,0,25,6,4,10,19,7,19,19,8,3,84,0,0,0,0,0,0,0,0,0,0,41,59,183,157,148,178,140,34,8,952
LGA53710,5,3,5,6,4,12,27,14,8,76,3,0,5,8,10,10,8,12,11,73,0,5,8,10,9,6,11,3,0,55,0,5,5,14,9,23,16,6,5,85,0,8,3,16,12,19,10,0,0,71,0,5,7,9,4,11,0,0,0,40,0,0,4,14,11,8,12,0,0,40,0,0,3,8,4,6,4,0,0,18,0,0,0,5,10,11,3,0,0,31,0,0,4,5,6,3,0,0,0,15,0,0,0,0,3,0,6,0,0,12,9,11,3,10,20,25,18,12,0,101,0,0,0,0,0,0,0,0,0,0,37,39,67,112,121,158,157,67,24,776
LGA53780,308,620,782,740,666,716,1609,1215,521,7184,333,806,1112,1122,887,801,1028,651,232,6973,200,889,1306,1256,1061,760,720,340,99,6636,148,990,1938,1755,1491,1067,561,179,77,8210,61,827,2322,2351,1899,1333,513,113,18,9429,22,403,1706,1848,1481,1077,309,54,11,6903,11,224,1273,1644,1309,904,216,43,20,5653,4,76,722,1217,1000,623,152,11,0,3809,6,88,920,1950,1613,943,170,16,5,5703,0,15,178,432,358,183,42,7,3,1223,4,15,102,424,377,211,54,12,0,1197,531,598,1459,1264,882,553,493,411,324,6520,5,17,36,31,37,67,75,18,6,294,7866,8334,17300,19460,15759,12658,10043,5093,1873,98372
LGA53800,116,128,214,208,236,321,651,452,189,2519,172,221,280,284,297,325,408,235,69,2299,123,261,366,303,343,340,312,140,43,2244,82,288,430,386,401,430,239,77,30,2351,30,217,522,459,528,489,228,56,18,2550,12,123,400,403,420,357,133,35,0,1897,8,94,421,367,449,349,100,31,21,1841,7,29,279,327,352,282,83,10,0,1371,5,46,391,620,715,470,132,18,6,2408,0,5,54,111,133,119,29,8,0,472,0,6,51,139,175,122,48,19,3,558,251,225,535,564,447,405,379,282,212,3294,0,4,13,0,7,8,3,9,5,47,2500,2062,4617,4813,5179,5095,4170,2198,848,31485
LGA53920,5,16,36,28,46,32,47,30,0,230,7,19,44,32,34,29,44,13,0,221,7,6,25,22,15,29,31,5,0,142,7,9,34,24,23,37,27,10,0,175,6,20,47,30,23,44,28,3,0,199,0,17,44,32,20,34,23,0,0,169,0,7,32,27,29,32,11,4,0,147,0,0,22,18,14,33,8,0,0,104,0,6,54,58,42,57,26,0,0,244,0,0,11,10,23,5,13,0,0,65,0,0,9,10,24,18,0,4,0,69,65,54,120,125,103,101,94,32,9,703,0,4,8,5,5,0,0,0,0,25,323,344,763,659,584,587,502,125,17,3910
LGA53990,69,59,140,162,141,217,432,296,99,1627,137,105,188,234,215,237,317,175,39,1645,78,145,211,245,256,207,231,100,22,1496,61,207,321,325,282,260,158,62,15,1687,19,151,394,357,369,323,161,45,7,1828,9,89,302,284,276,229,87,9,5,1292,4,66,236,282,322,245,72,19,9,1260,0,29,204,243,257,196,51,10,0,993,0,36,296,546,534,366,60,7,0,1843,0,7,69,141,134,87,19,10,0,466,5,4,62,116,131,101,16,6,4,442,120,71,149,167,157,192,149,120,66,1196,3,0,10,5,3,6,0,0,0,33,1928,1220,3121,3623,3562,3533,2835,1397,394,21618
LGA54060,7,4,8,24,21,60,109,68,16,312,14,22,23,19,27,42,88,48,16,294,5,13,19,21,20,40,42,31,7,204,0,12,16,29,39,36,40,14,4,201,0,7,24,35,46,61,38,7,0,225,0,11,21,30,23,45,22,5,0,152,0,11,21,30,34,25,16,8,0,137,4,10,13,25,27,31,14,7,0,129,0,0,16,46,56,57,19,7,0,217,0,0,3,14,18,10,0,0,0,54,0,0,3,18,25,11,15,7,0,77,21,15,47,56,55,98,77,63,21,452,0,0,0,0,0,0,0,0,0,4,179,125,269,387,479,673,741,388,81,3332
LGA54130,0,4,0,8,4,10,17,7,0,45,3,0,5,8,9,15,12,0,0,56,3,0,14,14,7,13,16,3,0,75,5,12,3,17,13,12,9,0,0,74,0,8,15,16,21,25,11,4,0,92,0,3,13,11,12,11,3,0,0,64,0,4,11,14,10,8,4,0,0,68,0,3,12,9,9,12,3,0,0,48,0,0,8,21,13,13,0,0,0,65,0,0,5,4,8,12,3,0,0,26,0,0,0,0,4,6,3,0,0,16,5,4,13,13,21,15,13,3,0,88,0,0,9,0,0,0,0,0,0,9,26,53,142,161,147,185,151,42,10,906
LGA54170,458,752,608,696,650,895,2173,1499,679,8408,430,916,810,895,978,1106,2071,1086,372,8665,265,915,1048,1046,1134,1296,1525,664,171,8076,169,1053,1308,1313,1423,1528,1273,437,136,8642,77,930,1964,1899,2048,2046,1219,292,72,10546,30,565,1793,1781,1875,1747,787,169,33,8782,15,295,1790,1971,2006,1679,627,132,31,8549,10,124,1240,1678,1757,1352,390,49,8,6612,6,94,1818,3725,3863,2752,569,69,20,12917,0,24,335,1035,1084,666,158,28,3,3336,0,18,328,1505,2087,1169,249,51,8,5418,277,293,589,651,673,549,522,507,404,4471,3,15,31,27,33,43,31,17,3,195,10251,8829,15810,20751,22018,20771,17306,7730,2847,126307
LGA54200,138,255,234,250,244,341,804,680,307,3246,153,309,363,375,344,400,750,489,145,3336,139,356,422,445,431,388,477,281,102,3042,71,416,640,605,628,562,377,206,76,3588,43,314,788,882,887,698,389,132,46,4176,13,173,703,744,709,629,260,70,15,3326,10,97,550,721,657,577,171,52,17,2839,4,43,402,565,582,416,146,24,3,2194,4,54,607,1161,1126,737,196,37,9,3923,0,3,145,268,255,150,57,11,3,896,3,5,114,318,410,299,79,32,13,1279,151,159,283,342,281,270,251,224,136,2103,4,9,14,3,5,7,7,6,7,51,3581,3102,6209,7749,7559,6904,5990,3516,1266,45883
LGA54280,68,52,128,120,96,135,241,174,52,1062,83,128,207,167,127,147,172,84,37,1148,91,174,208,202,170,141,105,51,8,1144,98,208,272,226,230,202,76,23,3,1337,62,244,385,311,323,310,103,15,4,1746,46,195,374,328,296,228,79,11,0,1554,30,189,485,341,363,287,78,12,6,1782,5,130,428,362,339,254,59,5,0,1584,6,151,845,906,786,598,112,4,0,3421,0,24,241,310,249,148,26,0,0,993,3,12,171,270,248,180,30,4,0,914,173,293,766,652,550,528,338,101,33,3431,5,4,29,9,10,14,19,0,0,84,1615,2080,5162,4694,4152,3694,1965,697,199,24253
LGA54310,24,31,70,72,54,71,117,62,11,512,51,41,99,120,83,63,113,39,5,612,48,75,137,121,112,83,68,22,0,668,39,106,198,203,142,104,73,20,0,893,45,150,328,261,205,170,66,9,0,1229,20,105,295,233,216,142,45,3,0,1056,15,85,358,307,265,172,33,0,0,1236,12,57,379,348,262,164,62,6,0,1283,11,144,797,920,740,428,64,0,0,3107,0,33,277,370,294,174,34,0,0,1185,0,25,342,681,493,269,40,3,0,1856,208,343,1284,1303,1062,820,323,81,7,5435,0,15,34,31,19,20,17,3,0,142,1206,1380,5031,5380,4218,3023,1413,364,24,22045
LGA54340,10,16,36,28,23,27,62,50,20,267,14,17,44,31,32,29,45,25,10,246,11,37,62,40,53,49,30,20,7,297,9,38,64,65,67,66,19,9,5,348,3,42,52,44,54,69,22,3,0,292,0,19,49,29,29,27,19,11,0,178,0,9,34,29,37,30,10,0,0,145,0,6,28,24,22,22,6,0,0,111,0,0,25,34,32,38,11,0,0,138,0,0,0,12,7,10,0,0,0,27,0,5,5,3,11,17,3,4,0,42,38,30,66,72,54,38,35,25,22,383,0,0,4,0,0,0,0,0,0,3,254,251,537,482,485,521,419,226,94,3275
LGA54410,0,0,10,7,12,15,31,29,6,110,3,0,7,9,6,15,12,18,9,79,6,6,3,8,8,18,13,0,0,57,0,10,11,8,16,12,9,0,0,71,0,7,17,7,13,22,4,0,3,78,0,0,6,5,14,15,4,0,0,50,0,0,10,9,5,15,0,4,0,40,0,0,3,6,7,9,0,0,0,30,0,0,4,11,12,9,6,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,14,15,6,15,11,23,25,16,13,4,130,0,0,0,0,0,0,0,0,0,0,56,39,102,111,151,196,146,110,43,962
LGA54480,0,0,4,0,4,3,0,0,0,10,0,0,4,4,4,0,4,0,0,14,0,3,0,6,8,4,0,0,0,19,0,0,4,0,11,0,4,3,0,22,0,3,11,15,7,10,5,0,0,54,3,4,6,10,3,10,3,0,0,44,0,0,5,13,9,5,0,0,0,34,0,0,5,0,7,3,0,0,0,18,0,0,4,7,4,4,5,0,0,25,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,4,0,0,0,8,7,5,6,12,15,5,6,0,0,53,0,0,0,0,0,0,0,0,0,0,11,19,60,79,81,48,46,18,0,373
LGA54550,0,0,10,19,11,11,22,25,8,114,8,0,8,9,14,12,25,11,0,98,8,11,15,11,16,22,21,3,5,115,4,11,11,26,25,25,18,12,6,135,3,15,27,32,22,48,7,9,0,168,0,12,19,20,17,22,9,5,4,111,0,0,19,29,15,20,10,0,3,91,0,0,12,11,18,17,0,0,0,61,0,4,8,18,23,27,9,0,0,85,0,0,4,6,3,9,5,0,0,29,0,0,4,14,11,20,11,0,0,59,4,3,21,19,23,37,18,29,18,162,0,0,0,0,0,0,0,0,0,0,53,71,175,248,230,317,199,137,55,1489
LGA54620,0,0,0,0,4,5,13,10,3,39,3,3,9,6,7,8,12,9,5,55,5,3,7,9,14,9,8,7,0,61,4,0,10,12,7,9,13,0,0,56,0,10,9,9,17,17,5,0,0,76,0,4,13,7,8,17,8,0,0,67,0,11,7,13,17,17,4,4,0,68,0,8,17,12,7,16,3,3,0,59,3,8,35,32,25,28,0,5,0,137,0,0,11,10,9,7,4,0,0,40,0,0,11,9,11,10,0,0,0,47,5,10,14,21,16,23,14,10,4,116,0,0,7,0,0,0,0,0,0,4,28,66,149,155,171,195,123,48,23,960
LGA54690,0,0,0,4,3,4,5,0,4,21,0,0,0,5,3,0,4,0,0,14,0,0,6,6,5,10,4,5,0,25,0,0,0,0,6,4,4,0,0,12,0,0,5,0,0,8,6,0,0,23,4,0,3,4,0,4,4,0,0,31,0,0,0,3,6,0,0,0,0,13,0,0,0,9,3,0,0,0,0,13,0,0,6,4,5,8,0,4,0,24,0,0,0,0,5,0,0,0,0,9,0,0,3,0,5,0,3,0,0,10,3,0,0,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,13,5,27,39,55,58,60,24,3,287
LGA54760,0,0,0,4,0,7,10,4,0,28,3,0,3,3,8,0,4,3,0,27,0,9,0,6,7,5,3,0,0,27,0,3,9,3,12,0,4,4,0,39,0,0,11,17,16,14,10,3,0,68,0,0,3,14,11,3,0,0,0,36,0,0,5,8,15,9,5,0,0,44,0,0,5,6,9,9,0,0,0,36,0,0,0,11,11,11,3,0,0,40,0,0,0,8,0,3,4,0,0,14,0,0,0,8,4,3,8,0,0,19,3,5,13,13,15,15,9,9,5,82,0,0,0,0,0,0,0,0,0,0,14,22,75,100,115,100,82,39,10,554
LGA54830,109,171,336,278,249,289,487,379,178,2472,130,287,460,428,310,264,297,156,59,2386,73,302,532,446,361,227,148,76,21,2186,41,369,769,636,502,311,144,40,10,2820,32,311,946,800,626,437,122,13,0,3292,11,176,760,735,508,324,75,5,0,2598,9,79,609,723,461,278,49,9,10,2225,0,47,381,529,348,177,31,0,0,1518,0,49,494,803,600,289,48,5,0,2296,0,5,114,159,114,51,8,0,0,445,0,6,52,144,111,63,16,4,5,398,211,301,832,698,405,241,168,93,32,2976,0,0,13,3,7,14,22,10,0,68,2600,2954,7517,7496,5475,4012,2664,1301,413,34433
LGA54900,4,4,5,10,9,15,15,9,6,65,4,11,5,5,14,9,6,0,0,59,0,7,9,16,15,6,11,4,5,70,4,8,7,15,14,18,13,6,0,92,3,11,21,25,15,26,7,3,0,109,0,3,19,7,11,18,14,5,0,88,0,0,22,12,19,23,3,0,0,85,0,0,9,15,11,13,0,0,0,55,0,0,14,22,19,9,12,0,0,79,0,0,0,4,4,5,5,0,0,18,0,0,0,4,6,7,4,3,0,27,7,9,12,16,19,25,12,8,6,100,0,0,0,0,0,0,0,0,0,3,42,63,149,185,178,198,126,58,12,1012
